朝我心脏开枪 내 심장을 쏴라,,文在容,,文在容,,吕珍九,,李民基,,刘五性,['剧情'],102分钟,2015,韩国, 韩语,7.5
最后一球 Тренер,,丹尼拉·科兹洛夫斯基,,谢尔盖·切特韦兴,,丹尼拉·科兹洛夫斯基,,伊琳娜·戈尔巴乔娃,,安德烈·斯莫利亚科夫,"['剧情', '运动']",137分钟(中国大陆),2018,俄罗斯, 俄语,7.5
舞蹈皇后 댄싱퀸,,李石勋,,李石勋,,黄政民,,严正化,,郑成华,"['剧情', '喜剧', '家庭']",124分钟,2012,韩国, 韩语,7.5
冬春的日子,,王小帅,,王小帅,,刘小东,,喻红,,娄烨,"['剧情', '爱情']",80分钟,1993,中国大陆, 汉语普通话,7.5
待绽蔷薇 Starlet,,肖恩·贝克,,肖恩·贝克,,德丽·海明威,,贝塞德卡·约翰森,,布尼,"['剧情', '情色']",103分钟,2012,美国 / 英国, 英语,7.5
醉画仙 취화선,,林权泽,,林权泽,,崔岷植,,安圣基,,孙艺珍,"['剧情', '传记']",120分钟,2002,韩国, 韩语,7.5
内陆帝国 Inland Empire,,大卫·林奇,,大卫·林奇,,劳拉·邓恩,,杰瑞米·艾恩斯,,贾斯汀·塞洛克斯,"['剧情', '悬疑', '惊悚']",180 分钟,2006,法国 / 波兰 / 美国, 英语 / 波兰语,7.5
平原游击队,,苏里,,邢野,,郭振清,,张莹,,杜德夫,"['剧情', '战争']",90分钟,1955,中国大陆, 汉语普通话,7.5
玻璃城堡 The Glass Castle,,德斯汀·克里顿,,德斯汀·克里顿,,布丽·拉尔森,,伍迪·哈里森,,娜奥米·沃茨,"['剧情', '家庭', '传记']",127分钟,2017,美国, 英语,7.5
夏日风暴 Sommersturm,,马可·克罗伊茨派因特纳,,马可·克罗伊茨派因特纳,,罗伯特·施塔德洛伯,,科斯蒂亚·乌尔曼,,艾丽卡·巴赫蕾达-库鲁斯,"['剧情', '喜剧', '爱情', '同性', '运动']",98 分钟,2004,德国, 德语,7.5
式日,,庵野秀明,,藤谷文子,,岩井俊二,,藤谷文子,,村上淳,['剧情'],128分钟,2000,日本, 日语,7.5
回到被爱的每一天,,何平,,何平,,王佳佳,,张译,,王志文,"['剧情', '爱情']",102分钟,2015,中国大陆, 汉语普通话,7.5
爱的蹦极 번지점프를 하다,,金大胜,,高恩恁,,李秉宪,,李恩珠,,吕贤洙,"['剧情', '爱情', '同性']",107 分钟,2001,韩国, 韩语,7.5
烈火青春,,谭家明,,方令正,,张国荣,,夏文汐,,汤镇业,"['剧情', '爱情', '惊悚']",96分钟,1982,香港, 粤语 / 日语 / 汉语普通话,7.5
河流,,蔡明亮,,蔡明亮,,李康生,,苗天,,陆弈静,"['剧情', '爱情', '同性']",115 分钟,1997,台湾, 汉语普通话,7.5
精彩的一天 멋진 하루,,李胤基,,朴恩泳,,全度妍,,吴智恩,,河正宇,"['剧情', '爱情']",123分钟,2008,韩国, 韩语,7.5
诱拐 g@me.,,井坂聪,,东野圭吾,,藤木直人,,仲间由纪惠,,石桥凌,"['剧情', '爱情', '悬疑']",112分钟,2003,日本, 日语,7.5
天堂失格 スクラップ・ヘブン,,李相日,,李相日,,栗山千明,,加濑亮,,小田切让,['剧情'],117分钟,2005,日本, 日语,7.5
冰雪女王 Snow Queen,,胡大为,,西蒙·摩尔,,布里吉特·芳达,,Jeremy Guilbaut,,切尔西·汉德勒,"['剧情', '动作', '儿童', '奇幻', '冒险']",180分钟,2002,美国 / 德国 / 加拿大, 英语,7.5
航运新闻 The Shipping News,,拉斯·霍尔斯道姆,,Robert Nelson Jacobs,,凯文·史派西,,朱丽安·摩尔,,凯特·布兰切特,"['剧情', '爱情']",111 分钟,2001,美国, 英语,7.3
不脱袜的人 不脫襪的人,,陈友,,卢永强,,张曼玉,,钟镇涛,,陈友,"['剧情', '爱情']",95分钟,1989,香港, 粤语 / 英语 / 上海话,7.3
黑雨 Black Rain,,雷德利·斯科特,,克雷格·博洛坦,,迈克尔·道格拉斯,,安迪·加西亚,,高仓健,"['剧情', '动作', '惊悚', '犯罪']",125 分钟,1989,美国, 英语 / 日语,7.3
监护风云 Jusqu’à la Garde,,泽维尔·勒格朗,,泽维尔·勒格朗,,蕾雅·德吕盖,,德尼·梅诺谢,,托马斯·乔里亚,['剧情'],93分钟,2017,法国, 法语,7.3
南京大屠杀 南京1937,,吴子牛,,张冀平,,秦汉,,早乙女爱,,刘若英,"['剧情', '历史', '战争']",117 分钟,1995,中国大陆, 汉语普通话 / 日语 / 英语 / 德语,7.3
纺织姑娘,,王全安,,王全安,,余男,,程正武,,赵鲁寒,['剧情'],93分钟,2009,中国大陆, 汉语普通话 / 陕西话 / 北京话,7.3
危险思想的自白 Confessions of a Dangerous Mind,,乔治·克鲁尼,,查理·考夫曼,,迪克·克拉克,,山姆·洛克威尔,,Michelle Sweeney,"['剧情', '喜剧', '爱情', '惊悚', '传记', '犯罪']",113分钟,2002,美国 / 英国 / 德国, 英语,7.3
管制塔,,三木孝浩,,持地佑季子,,山崎贤人,,桥本爱,,利重刚,"['剧情', '爱情', '音乐']",68分钟,2011,日本, 日语,7.3
五个暴走的少年 シュアリー・サムデイ,,小栗旬,,武藤将吾,,小出惠介,,小西真奈美,,塚地雅武,"['剧情', '喜剧']",Japan: 122 分钟,2010,日本, 日语,7.3
