起跑线 Hindi Medium,,萨基特·乔杜里,,萨基特·乔杜里,,伊尔凡·可汗,,萨巴·卡玛尔,,内哈·迪胡皮阿,"['剧情', '喜剧']",132分钟,2017,印度, 印地语 / 英语,7.9
斗牛,,管虎,,管虎,,黄渤,,闫妮,,高虎,"['剧情', '喜剧']",109分钟,2009,中国大陆, 中文 / 日语,7.9
海洋天堂,,薛晓路,,薛晓路,,李连杰,,文章,,桂纶镁,['剧情'],106分钟,2010,中国大陆 / 香港, 汉语普通话,7.9
蓝色茉莉 Blue Jasmine,,伍迪·艾伦,,伍迪·艾伦,,凯特·布兰切特,,莎莉·霍金斯,,亚历克·鲍德温,"['剧情', '家庭']",98分钟,2013,美国, 英语,7.9
红磨坊 Moulin Rouge!,,巴兹·鲁赫曼,,巴兹·鲁赫曼,,妮可·基德曼,,伊万·麦克格雷格,,约翰·雷吉扎莫,"['剧情', '爱情', '歌舞']",127 分钟,2001,澳大利亚 / 美国, 英语 / 法语 / 西班牙语,7.9
孔雀,,顾长卫,,李樯,,张静初,,冯瓅,,吕聿来,"['剧情', '家庭']",136分钟,2005,中国大陆, 汉语普通话 / 晋语,7.9
流感 감기,,金成洙,,金成洙,,张赫,,秀爱,,朴敏荷,"['剧情', '惊悚', '灾难']",122分钟,2013,韩国, 韩语 / 英语 / 印度尼西亚语,7.9
锅匠，裁缝，士兵，间谍 Tinker Tailor Soldier Spy,,托马斯·阿尔弗莱德森,,约翰·勒·卡雷,,加里·奥德曼,,科林·费尔斯,,汤姆·哈迪,"['剧情', '惊悚']",127分钟,2011,英国 / 法国 / 德国, 英语 / 法语 / 俄语 / 匈牙利语 / 土耳其语,7.9
地久天长,,王小帅,,阿美,,王景春,,咏梅,,齐溪,"['剧情', '家庭']",175分钟,2019,中国大陆, 汉语普通话,7.9
虞美人盛开的山坡 コクリコ坂から,,宫崎吾朗,,宫崎骏,,长泽雅美,,冈田准一,,香川照之,"['剧情', '动画']",91分钟,2011,日本, 日语,7.9
投靠女与出走男 駆込み女と駆出し男,,原田真人,,井上厦,,大泉洋,,户田惠梨香,,满岛光,"['剧情', '喜剧']",143分钟（日本）,2015,日本, 日语,8.2
紧急救命 新春特别篇 コード・ブルー -ドクターヘリ緊急救命- 新春スペシャル,,西浦正记,,林宏司,,山下智久,,新垣结衣,,户田惠梨香,['剧情'],107分钟,2009,日本, 日语,8.2
傲慢与偏见 Pride and Prejudice,,罗伯特·Z·伦纳德,,简·奥斯汀,,葛丽亚·嘉逊,,劳伦斯·奥利弗,,莫琳·奥沙利文,"['剧情', '爱情']",118 分钟,1940,美国, 英语,8.2
怒火青春 La haine,,马修·卡索维茨,,马修·卡索维茨,,文森特·卡索,,哈勃·孔黛,,萨伊德·塔格马奥,"['剧情', '犯罪']",98分钟,1995,法国, 法语,8.2
谈谈情跳跳舞 Shall we ダンス?,,周防正行,,周防正行,,役所广司,,草刈民代,,竹中直人,"['剧情', '喜剧', '爱情', '歌舞']",136分钟,1996,日本, 日语,8.2
阿Q正传,,岑范,,陈白尘,,严顺开,,王苏娅,,李纬,['剧情'],125分钟,1981,中国大陆, 汉语普通话,8.2
去年在马里昂巴德 L'année dernière à Marienbad,,阿伦·雷乃,,阿兰·罗布-格里耶,,德菲因·塞里格,,乔治·阿尔贝塔齐,,萨夏·皮托埃夫,"['剧情', '爱情', '悬疑']",94 分钟,1961,法国 / 意大利, 法语,8.2
永远的三丁目的夕阳之1964 Always 三丁目の夕日'64,,山崎贵,,古泽良太,,吉冈秀隆,,堤真一,,小雪,['剧情'],142分钟,2012,日本, 日语,8.2
灵犬雪莉 Belle et Sébastien,,尼古拉·瓦尼埃,,朱丽叶·赛尔斯,,费利克斯·博叙埃,,切基·卡尤,,玛格·夏特莉,"['剧情', '冒险']",104分钟,2013,法国, 法语 / 德语,8.2
幻之光 幻の光,,是枝裕和,,荻田芳久,,江角真纪子,,浅野忠信,,内藤刚志,['剧情'],110分钟,1995,日本, 日语,8.2
穿越美国 Transamerica,,邓肯·塔克,,邓肯·塔克,,菲丽西提·霍夫曼,,凯文·席格斯,,丹尼·伯斯坦,"['剧情', '喜剧', '冒险']",103分钟,2005,美国, 英语 / 西班牙语,8.2
你和我 キミとボク,,窪田崇,,窪田崇,,中村蒼,,坂本真綾,,类型:,['剧情'],45分钟,2011,日本, 日语,8.2
致亲爱的你 あなたへ,,降旗康男,,青岛武 ,,高仓健,,田中裕子,,佐藤浩市,['剧情'],110分钟,2012,日本, 日语,8.2
梅奇知道什么 What Maisie Knew,,斯科特·迈克吉,,Nancy Doyne,,阿娜塔·阿普洛,,亚历山大·斯卡斯加德,,朱丽安·摩尔,['剧情'],99分钟,2012,美国, 英语,8.2
洛奇2 Rocky II,,西尔维斯特·史泰龙,,西尔维斯特·史泰龙,,西尔维斯特·史泰龙,,塔莉娅·夏尔,,波特·杨,"['剧情', '运动']",119 分钟,1979,美国, 英语 / 意大利语,8.2
幸福的黄手帕 幸福の黄色いハンカチ,,山田洋次,,山田洋次,,高仓健,,倍赏千惠子,,桃井薰,"['剧情', '喜剧']",109 分钟(日本),1977,日本, 日语,8.2
爱丽丝梦游仙境 Alice in Wonderland,,诺曼·Z·麦克劳德,,路易斯·卡罗尔,,理查德·阿伦,,罗斯科·阿蒂斯,,威廉姆斯·奥斯汀,"['剧情', '奇幻', '冒险']",76 分钟,1933,美国, 英语,8.2
更好的生活 A Better Life,,克里斯·韦兹,,埃里克·伊森,,德米安·比齐尔,,Jose Julian,,德洛丽丝·赫雷迪亚,"['剧情', '家庭']",98分钟,2011,美国, 英语,8.2
王子复仇记 Hamlet,,劳伦斯·奥利弗,,莎士比亚,,劳伦斯·奥利弗,,巴兹尔·悉尼,,艾琳·赫利,['剧情'],155分钟,1948,英国, 英语,8.2
半梦半醒的人生 Waking Life,,理查德·林克莱特,,理查德·林克莱特,,伊桑·霍克,,朱莉·德尔佩,,肯·韦伯斯特,"['剧情', '动画', '悬疑', '奇幻']",99分钟,2001,美国, 英语,8.2
转山,,杜家毅,,张家鲁,,张书豪,,李晓川,,李桃,"['剧情', '冒险']",90分钟,2011,中国大陆 / 台湾, 汉语普通话 / 藏语,7.9
白兔糖 うさぎドロップ,,萨布,,宇仁田由美,,松山研一,,芦田爱菜,,池胁千鹤,"['剧情', '喜剧']",113分钟,2011,日本, 日语,7.9
守法公民 Law Abiding Citizen,,F·加里·格雷,,科特·维莫,,杰米·福克斯,,杰拉德·巴特勒,,科尔姆·米尼,"['剧情', '惊悚', '犯罪']",108 分钟,2009,美国, 英语,7.9
深夜食堂电影版 映画 深夜食堂,,松冈锭司,,真边克彦,,小林薰,,高冈早纪,,柄本时生,['剧情'],119分钟,2014,日本, 日语,7.9
