,a,c,e,g,i,k,l,m,n,o,p,q
1,机器人总动员 WALL·E,安德鲁·斯坦顿,安德鲁·斯坦顿,本·贝尔特,艾丽莎·奈特,杰夫·格尔林,"['爱情', '科幻', '动画', '冒险']",98分钟,2008,美国, 英语,9.3
2,星际穿越 Interstellar,克里斯托弗·诺兰,乔纳森·诺兰,马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,"['剧情', '科幻', '冒险']",169分钟,2014,美国 / 英国 / 加拿大 / 冰岛, 英语,9.2
3,楚门的世界 The Truman Show,彼得·威尔,安德鲁·尼科尔,金·凯瑞,劳拉·琳妮,艾德·哈里斯,"['剧情', '科幻']",103分钟,1998,美国, 英语,9.2
4,超感猎杀：完结特别篇 Sense8 Finale Special,拉娜·沃卓斯基,莉莉·沃卓斯基,裴斗娜,杰米·克莱顿,蒂娜·德赛,"['剧情', '科幻', '同性']",151分钟,2018,美国, 英语,9.2
5,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺兰,乔纳森·诺兰,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,"['剧情', '动作', '科幻', '惊悚', '犯罪']",152分钟,2008,美国 / 英国, 英语 / 汉语普通话,9.1
6,攻壳机动队2：无罪 攻殻機動隊2 イノセンス,押井守,押井守,田中敦子,大塚明夫,山寺宏一,"['剧情', '科幻', '动画']",100分钟,2004,日本, 日语 / 粤语,9.1
7,大都会 Metropolis,弗里茨·朗,特娅·冯·哈堡,阿弗莱德·阿贝尔,古斯塔夫·佛力施,布里吉特·赫尔姆,"['剧情', '科幻']",153分钟,1927,德国, 无对白,9.0
8,赛文奥特曼 我是地球人 ウルトラセブン わたしは地球人,神澤信一,武上纯希,南条弘二,山崎勝之,正岡邦夫,"['剧情', '动作', '科幻']",73分钟,1999,日本, 日语,9.0
9,黑客帝国 The Matrix,莉莉·沃卓斯基,莉莉·沃卓斯基,基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩,"['动作', '科幻']",136分钟,1999,美国 / 澳大利亚, 英语,8.9
10,红辣椒 パプリカ,今敏,水上清资,林原惠美,江守彻,堀胜之祐,"['科幻', '动画', '悬疑', '惊悚']",90 分钟,2006,日本, 日语,8.9
11,攻壳机动队 攻殻機動隊,押井守,伊藤和典,田中敦子,大塚明夫,山寺宏一,"['动作', '科幻', '动画']",83分钟,1995,日本, 日语,8.9
12,V字仇杀队 V for Vendetta,詹姆斯·麦克特格,莉莉·沃卓斯基,娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞,"['剧情', '动作', '科幻', '惊悚']",132分钟,2005,美国 / 英国 / 德国, 英语,8.8
13,黑客帝国动画版 The Animatrix,钟彼得,莉莉·沃卓斯基,大塚明夫,克莱顿·华生,帕梅拉·阿德龙,"['剧情', '动作', '科幻', '动画']",102 分钟,2003,美国, 英语 / 日语,8.8
14,回忆三部曲 Memories,大友克洋,大友克洋,矶部勉,山寺宏一,饭冢昭三,"['科幻', '动画', '惊悚', '奇幻']",113 分钟,1995,日本, 日语 / 英语,8.8
15,攻壳机动队SSS 攻殻機動隊 STAND ALONE COMPLEX Solid State Society,神山健治,神山健治,田中敦子,大塚明夫,阪脩,"['动作', '科幻', '动画']",108分钟,2006,日本, 日语,8.8
16,博士之日 The Day Of The Doctor,尼克·赫伦,史蒂文·莫法特,大卫·田纳特,珍娜·科尔曼,约翰·赫特,['科幻'],75分钟,2013,英国, 英语,8.8
17,头号玩家 Ready Player One,史蒂文·斯皮尔伯格,扎克·佩恩,泰伊·谢里丹,奥利维亚·库克,本·门德尔森,"['动作', '科幻', '冒险']",140分钟,2018,美国, 英语 / 日语 / 汉语普通话,8.7
18,阿凡达 Avatar,詹姆斯·卡梅隆,詹姆斯·卡梅隆,萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,"['动作', '科幻', '战争', '冒险']",162分钟,2009,美国 / 英国, 英语 / 西班牙语,8.7
19,蝴蝶效应 The Butterfly Effect,埃里克·布雷斯,J·麦基·格鲁伯,阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,"['剧情', '科幻', '悬疑', '惊悚']",113分钟,2004,美国 / 加拿大, 英语,8.7
20,升级 Upgrade,雷·沃纳尔,雷·沃纳尔,罗根·马歇尔-格林,梅拉里·沃列何,哈里森·吉尔伯特森,"['动作', '科幻', '惊悚']",100分钟,2018,澳大利亚, 英语,8.1
21,星球大战前传1：幽灵的威胁 Star Wars: Episode I - The Phantom Menace,乔治·卢卡斯,乔治·卢卡斯,连姆·尼森,伊万·麦克格雷格,娜塔莉·波特曼,"['动作', '科幻', '冒险']",136 分钟,1999,美国, 英语,8.1
22,星际宝贝 Lilo & Stitch,克里斯·桑德斯,克里斯·桑德斯,黛维·切斯,克里斯·桑德斯,蒂亚·卡雷尔,"['喜剧', '科幻', '动画', '家庭', '冒险']",85分钟,2002,美国, 英语 / Hawaiian,8.1
23,人猿星球 Planet of the Apes,富兰克林·沙夫纳,迈克尔·威尔逊,查尔登·海斯顿,罗迪·麦克道尔,金·亨特,"['科幻', '悬疑', '冒险']",112 分钟,1968,美国, 英语,8.1
24,妙想天开 Brazil,特瑞·吉列姆,特瑞·吉列姆,乔纳森·普雷斯,罗伯特·德尼罗,凯瑟琳·海蒙德,"['剧情', '科幻']",132分钟,1985,英国, 英语,8.1
25,睁开你的双眼 Abre los ojos,亚历杭德罗·阿梅纳瓦尔,亚历杭德罗·阿梅纳瓦尔,爱德华多·诺列加,佩内洛普·克鲁兹,费莱·马丁内斯,"['剧情', '爱情', '科幻', '悬疑', '惊悚']",117 分钟,1997,西班牙 / 法国 / 意大利, 西班牙语,8.1
26,星际旅行4：抢救未来 Star Trek IV: The Voyage Home,伦纳德·尼莫伊,吉恩·罗登贝瑞,威廉·夏特纳,伦纳德·尼莫伊,德福雷斯特·凯利,"['喜剧', '科幻', '冒险']",119 分钟,1986,美国, 英语,8.1
27,迷宫物语 迷宮物語,川尻善昭,川尻善昭,吉田日出子,水岛裕,大竹宏,"['科幻', '动画', '恐怖', '奇幻', '冒险']",Spain: 49 分钟,1987,日本, 日语,8.1
28,错位,黄建新,张敏,刘子枫,牟红,杨昆,['科幻'],85分钟,1986,中国大陆, 汉语普通话 / 德语,8.1
29,霹雳五号续集 Short Circuit 2,肯尼斯·约翰逊,布伦特·马多克,Tim Blaney,费舍·史蒂芬斯,迈克尔·麦基恩,"['喜剧', '科幻', '家庭']",110 分钟,1988,美国, 英语,8.1
30,变种外星人 Mutant Aliens,比尔·普莱姆顿,比尔·普莱姆顿,Amy Allison,Anthony Arcidi,Matthew Brown,"['喜剧', '科幻', '动画']",81 分钟,2001,美国, 英语,8.1
31,星际宝贝：终极任务 Leroy & Stitch,托尼·克莱格,罗伯茨·甘纳韦,黛维·切斯,克里斯·桑德斯,戴维·奥格登·施蒂尔斯,"['喜剧', '科幻', '动画', '家庭', '冒险']",73分钟,2006,美国, 英语,8.1
32,天外来客 La soupe aux choux,让·吉罗,Jean Halain,路易·德·菲奈斯,Philippe Brizard,让·卡尔梅,"['喜剧', '科幻']",98 分钟,1981,法国, 法语,8.1
33,最后决战 Le dernier combat,吕克·贝松,皮埃尔·若利韦,皮埃尔·若利韦,让·布伊兹,让·雷诺,['科幻'],92 分钟,1983,法国, 法语,8.1
34,不可思议的收缩人 The Incredible Shrinking Man,杰克·阿诺德,理查德·艾伦·西蒙斯,格兰特·威廉姆斯,Randy Stuart,April Kent,"['科幻', '惊悚']",81 分钟,1957,美国, 英语,8.1
35,BBC周日晚间剧场：1984 BBC Sunday-Night Theatre: Nineteen Eighty-Four,Rudolph Cartier,Nigel Kneale,Peter Cushing,André Morell,Yvonne Mitchell,"['剧情', '科幻']",120分钟,1954,英国, 英语,8.1
36,流浪地球,郭帆,龚格尔,屈楚萧,吴京,李光洁,"['科幻', '灾难']",125分钟,2019,中国大陆, 汉语普通话 / 英语 / 俄语 / 法语 / 日语 / 韩语 / 印尼语,8.0
37,银河护卫队 Guardians of the Galaxy,詹姆斯·古恩,詹姆斯·古恩,克里斯·帕拉特,佐伊·索尔达娜,布莱德利·库珀,"['动作', '科幻', '冒险']",121分钟,2014,美国 / 英国, 英语 / 萨卡语,8.0
38,银河护卫队2 Guardians of the Galaxy Vol. 2,詹姆斯·古恩,詹姆斯·古恩,克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,"['动作', '科幻', '冒险']",136分钟,2017,美国, 英语,8.0
39,云图 Cloud Atlas,汤姆·提克威,汤姆·提克威,汤姆·汉克斯,哈莉·贝瑞,吉姆·布劳德本特,"['剧情', '科幻', '悬疑']",134分钟(中国大陆),2012,德国 / 美国 / 香港 / 中国大陆 / 新加坡, 英语 / 西班牙语,8.0
40,硬核亨利 Хардкор,伊利亚·奈舒勒,伊利亚·奈舒勒,沙尔托·科普雷,丹尼拉·科兹洛夫斯基,海莉·贝内特,"['动作', '科幻', '冒险']",96分钟,2015,俄罗斯 / 美国, 英语 / 俄语,7.6
41,机器战警 RoboCop,保罗·范霍文,爱德华·诺麦尔,彼得·威勒,南茜·艾伦,丹·奥赫里奇,"['剧情', '动作', '科幻', '惊悚', '犯罪']",102 分钟,1987,美国, 英语,7.6
42,生化危机：诅咒 バイオハザード ダムネーション,神谷诚,菅正太郎,马修·默瑟,戴夫·维滕博格,柯特奈·泰勒,"['动作', '科幻', '动画', '惊悚', '恐怖']",100分钟,2012,日本, 日语,7.6
43,铁血战士 Predator,约翰·麦克蒂尔南,Jim Thomas,阿诺·施瓦辛格,卡尔·韦瑟斯,艾尔皮迪娅·卡里洛,"['动作', '科幻', '惊悚', '冒险']",107 分钟,1987,美国, 英语 / 西班牙语,7.6
44,火星任务 Mission to Mars,布莱恩·德·帕尔玛,格雷厄姆·约斯特,加里·西尼斯,蒂姆·罗宾斯,唐·钱德尔,"['剧情', '科幻', '惊悚', '冒险']",114分钟,2000,美国, 英语,7.6
45,霹雳贝贝,翁路明,张之路,张京,王莹,章萍,"['剧情', '科幻', '儿童']",90分钟,1988,中国大陆, 汉语普通话,7.6
46,极度恐慌 Outbreak,沃尔夫冈·彼德森,劳伦斯·迪沃莱特,达斯汀·霍夫曼,蕾妮·罗素,摩根·弗里曼,"['剧情', '科幻', '惊悚', '灾难']",127分钟,1995,美国, 英语 / 韩语 / 法语,7.6
47,超人 Superman,理查德·唐纳,杰里·西格尔,克里斯托弗·里夫,马龙·白兰度,吉恩·哈克曼,"['动作', '科幻', '冒险']",143分钟,1978,美国 / 英国, 英语,7.6
48,意外空间 El Incidente,伊萨克·厄兹本,伊萨克·厄兹本,胡伯托·巴斯托,Erick Trinidad Camacho,Santiago Mendoza Cortes,"['科幻', '惊悚']",100分钟,2014,墨西哥, 西班牙语,7.6
49,星际旅行1：无限太空 Star Trek: The Motion Picture,罗伯特·怀斯,哈罗德·利维斯顿,威廉·夏特纳,伦纳德·尼莫伊,德福雷斯特·凯利,"['科幻', '悬疑', '奇幻', '冒险']",132 分钟,1979,美国, 英语 / Klingon,7.6
50,果酱 Jam Films,北村龙平,高津隆一,广末凉子,大泽隆夫,妻夫木聪,"['剧情', '喜剧', '科幻', '奇幻']",109分钟,2002,日本, 日语 / 英语,7.6
51,星际旅行6：未来之城 Star Trek VI: The Undiscovered Country,尼古拉斯·迈耶,尼古拉斯·迈耶,威廉·夏特纳,伦纳德·尼莫伊,德福雷斯特·凯利,"['动作', '科幻', '悬疑', '惊悚']",113 分钟,1991,美国, 英语,7.6
52,太空堡垒卡拉狄加：利刃 Battlestar Galactica  Razor,菲利克斯·因瑞奎兹·阿卡拉,罗纳德·D·摩尔,翠西亚·希弗,爱德华·詹姆斯·奥莫斯,玛丽·麦克唐纳,"['剧情', '动作', '科幻', '惊悚']",88 分钟,2007,美国, 英语,7.6
53,新科学怪人 Young Frankenstein,梅尔·布鲁克斯,吉恩·怀尔德,吉恩·怀尔德,彼得·博伊尔,马蒂·费德曼,"['喜剧', '科幻']",106 分钟,1974,美国, 英语 / 德语,7.6
54,黑星球 Dark Star,约翰·卡朋特,丹·欧班农,Brian Narelle,Cal Kuniholm,Dre Pahich,"['喜剧', '科幻', '惊悚']",83 分钟,1974,美国, 英语,7.6
55,时空大挪移 The Time Machine,乔治·帕尔,大卫·邓肯,罗德·泰勒,艾伦·扬,伊薇特·米米亚克斯,"['爱情', '科幻', '惊悚', '冒险']",103 分钟,1960,美国, 英语,7.6
56,是谁让我脑死了 Brain Dead,亚当·西蒙,查尔斯·布蒙特,比尔·普尔曼,比尔·帕克斯顿,巴德·库特,"['科幻', '悬疑', '惊悚', '恐怖']",85 分钟,1990,美国, 英语,7.6
57,蛇谷的诅咒 Заклятие Долины Змей,Marek Piestrak,Wojciech Nizynski,Krzysztof Kolberger,罗曼·威廉密,Ewa Salacka,"['科幻', '冒险']",99 分钟,1988,波兰 / 苏联, 俄语 / 波兰语,7.6
58,星际之门SG-1：众神之子 终极剪辑版 Stargate SG-1: Children of the Gods - Final Cut,Mario Azzopardi,Jonathan Glassner,Richard Dean Anderson,类型:,科幻,['科幻'],92分钟,2009,美国, 英语,7.6
59,哥斯拉 ゴジラ,本多猪四郎 ,村田武雄,宝田明,河内桃子,平田昭彦,"['剧情', '科幻', '恐怖']",96 分钟,1954,日本, 日语,7.3
60,情迷步话机 동감,金正权,张镇,金荷娜,刘智太,河智源,"['爱情', '科幻']",110分钟,2000,韩国, 韩语,7.3
61,小魔星 Arachnophobia,弗兰克·马歇尔,Al Williams,杰夫·丹尼尔斯,Harley Jane Kozak,约翰·古德曼,"['喜剧', '科幻', '惊悚', '恐怖']",103 分钟,1990,美国, 英语,7.3
62,灵魂大搜索 Altered States,肯·罗素,帕迪·查耶夫斯基,威廉·赫特,布莱尔·布朗,鲍勃·巴拉班,"['剧情', '科幻', '惊悚', '恐怖', '奇幻']",102 分钟,1980,美国, 英语 / 西班牙语,7.3
63,绿色食品 Soylent Green,理查德·弗莱彻,哈里·哈里森,查尔登·海斯顿,蕾·泰勒-杨,查克·康诺斯,"['剧情', '科幻', '悬疑', '惊悚']",97 分钟,1973,美国, 英语 / 西班牙语,7.3
64,魔域煞星 Dreamscape,约瑟夫·鲁本,查克·拉塞尔,丹尼斯·奎德,埃迪·艾伯特,凯特·卡普肖,"['科幻', '惊悚', '恐怖', '冒险']",99 分钟,1984,美国, 英语,7.3
65,魔童村 Village of the Damned,沃尔夫·里拉,约翰·温德姆,乔治·桑德斯,芭芭拉·谢莉,马丁·史蒂芬斯,"['科幻', '悬疑', '恐怖']",77 分钟,1960,英国, 英语,7.3
66,神呀神！你为何离弃我？ エリ・エリ・レマ・サバクタニ,青山真治,青山真治,浅野忠信,宫崎葵,冈田茉莉子,"['剧情', '科幻', '音乐']",107分钟(法国),2005,日本, 日语,7.3
67,毒药 Poison,托德·海因斯,托德·海因斯,Edith Meeks,Millie White,Buck Smith,"['剧情', '科幻', '恐怖', '同性']",85 分钟,1991,美国, 英语,7.3
68,完美女人 CQ,罗曼·科波拉,罗曼·科波拉,杰瑞米·戴维斯,安吉拉·琳达瓦尔,埃洛迪·布歇,"['剧情', '喜剧', '科幻']",88 分钟,2001,美国 / 卢森堡 / 法国 / 意大利, 英语 / 法语,7.3
69,毒液：致命守护者 Venom,鲁本·弗雷斯彻,杰夫·皮克纳,汤姆·哈迪,米歇尔·威廉姆斯,里兹·阿迈德,"['动作', '科幻', '惊悚']",112分钟,2018,美国 / 中国大陆, 英语 / 汉语普通话,7.2
70,超体 Lucy,吕克·贝松,吕克·贝松,斯嘉丽·约翰逊,摩根·弗里曼,崔岷植,"['动作', '科幻']",89分钟,2014,法国, 英语 / 韩语 / 法语 / 汉语普通话,7.2
71,蜘蛛侠3 Spider-Man 3,山姆·雷米,山姆·雷米,托比·马奎尔,克斯汀·邓斯特,詹姆斯·弗兰科,"['动作', '科幻', '冒险']",139分钟,2007,美国, 英语,7.2
72,生化危机3：灭绝 Resident Evil: Extinction,拉塞尔·穆卡希,保罗·安德森,米拉·乔沃维奇,奥德·菲尔,伊恩·格雷,"['动作', '科幻', '恐怖']",95 分钟(美国),2007,美国 / 法国 / 澳大利亚 / 德国 / 英国, 英语,7.2
73,终结者3 Terminator 3: Rise of the Machines,乔纳森·莫斯托,John D. Brancato,阿诺·施瓦辛格,尼克·斯塔尔,克莱尔·丹妮丝,"['动作', '科幻', '惊悚']",109 分钟,2003,美国 / 德国 / 英国, 英语,7.2
74,记忆裂痕 Paycheck,吴宇森,菲利普·迪克,本·阿弗莱克,艾伦·艾克哈特,乌玛·瑟曼,"['动作', '科幻', '悬疑', '惊悚']",119 分钟,2003,美国, 英语,7.2
75,幽冥 Spectral,尼克·马蒂厄,伊恩·弗里德,克莱恩·克劳福德,艾米莉·莫迪默,詹姆斯·戴尔,"['动作', '科幻', '战争']",107分钟,2016,美国, 英语 / 俄语 / 罗马尼亚语,7.2
76,火星人玩转地球 Mars Attacks!,蒂姆·波顿,乔纳森·詹姆斯,杰克·尼科尔森,格伦·克洛斯,杰克·布莱克,"['喜剧', '动作', '科幻', '惊悚', '奇幻']",106 分钟,1996,美国, 英语 / 法语,7.2
77,最终幻想15：王者之剑 Kingsglaive Final Fantasy XV,野末武志,长谷川隆,亚伦·保尔,肖恩·宾,琳娜·海蒂,"['剧情', '科幻', '动画', '奇幻', '冒险']",116分钟(中国大陆),2016,日本, 英语 / 日语,7.2
78,命运规划局 The Adjustment Bureau,乔治·诺非,乔治·诺非,马特·达蒙,艾米莉·布朗特,弗洛伦斯·卡斯特里纳,"['爱情', '科幻']",106分钟,2011,美国, 英语,6.9
79,黑镜：潘达斯奈基 Black Mirror: Bandersnatch,大卫·斯雷德,查理·布鲁克,菲恩·怀特海德,克雷格·帕金森,爱丽丝·洛维,"['剧情', '科幻', '悬疑', '惊悚']",90分钟,2018,英国 / 美国, 英语,6.9
80,游侠索罗：星球大战外传 Solo: A Star Wars Story,朗·霍华德,乔恩·卡斯丹,阿尔登·埃伦瑞奇,艾米莉亚·克拉克,伍迪·哈里森,"['动作', '科幻', '冒险']",135分钟,2018,美国, 英语,6.9
81,超能失控 Chronicle,乔什·特兰克,马克斯·兰迪斯  ,戴恩·德哈恩,亚历克斯·罗素,迈克尔·B·乔丹,"['剧情', '动作', '科幻', '惊悚']",84分钟(美国),2012,英国 / 美国, 英语,6.9
82,寄生兽：完结篇 寄生獣 完結編,山崎贵,山崎贵,染谷将太,深津绘里,阿部隆史,"['剧情', '动作', '科幻', '恐怖']",117分钟,2015,日本, 日语,6.9
83,嗜血破晓 Daybreakers,迈克尔·斯派瑞,迈克尔·斯派瑞,伊桑·霍克,威廉·达福,伊莎贝尔·卢卡斯,"['剧情', '动作', '科幻', '恐怖', '犯罪']",98分钟,2009,美国 / 澳大利亚, 英语,6.9
84,第六日 The 6th Day,罗杰·斯波蒂斯伍德,科马克·韦伯利,阿诺·施瓦辛格,迈克尔·拉帕波特,托尼·戈德温,"['动作', '科幻', '惊悚']",123 分钟,2000,美国, 英语,6.9
85,大战外星人 Monsters vs. Aliens,罗伯·莱特曼,玛雅·福布斯,瑞茜·威瑟斯彭,塞斯·罗根,休·劳瑞,"['喜剧', '动作', '科幻', '动画', '家庭', '冒险']",94 分钟,2009,美国, 英语,6.9
86,忧郁症 Melancholia,拉斯·冯·提尔,拉斯·冯·提尔,克斯汀·邓斯特,夏洛特·甘斯布,基弗·萨瑟兰,"['剧情', '科幻', '惊悚']",136分钟,2011,丹麦 / 瑞典 / 法国 / 德国, 英语,6.9
87,星际传奇2 The Chronicles of Riddick,大卫·杜西,大卫·杜西,范·迪塞尔,科鲁姆·费奥瑞,坦迪·牛顿,"['动作', '科幻', '惊悚', '冒险']",119分钟,2004,美国, 英语,6.9
88,太阳浩劫 Sunshine,丹尼·博伊尔,亚历克斯·嘉兰,基里安·墨菲,杨紫琼,特洛伊·格雷提,"['科幻', '灾难']",107分钟,2007,英国 / 美国, 英语,6.9
89,兵人 Soldier,保罗·安德森,David Webb Peoples,库尔特·拉塞尔,李截,詹森·艾萨克,"['剧情', '动作', '科幻']",99 分钟,1998,英国 / 美国, 英语,6.9
90,最终幻想：灵魂深处 Final Fantasy: The Spirits Within,坂口博信,坂口博信,温明娜,亚历克·鲍德温,文·瑞姆斯,"['动作', '科幻', '动画', '惊悚', '奇幻', '冒险']",106 分钟,2001,美国 / 日本, 英语,6.9
91,欧罗巴报告 Europa Report,塞巴斯特·柯代洛,菲利普·盖拉特,吴彦祖,沙尔托·科普雷,克里斯蒂安·卡玛戈,"['科幻', '惊悚']",90分钟,2013,美国, 英语 / 俄语 / 汉语普通话,6.9
92,克隆丈夫 Womb,本尼德克·菲利格夫,本尼德克·菲利格夫,伊娃·格林,马特·史密斯,乌米·马萨库,"['剧情', '爱情', '科幻']",111分钟,2010,德国 / 匈牙利 / 法国, 英语,6.9
93,机器战警2 Robocop 2,厄文·克什纳,弗兰克·米勒,彼得·威勒,南茜·艾伦,加布里埃尔·达蒙,"['动作', '科幻', '惊悚', '犯罪']",Germany: 82 分钟(FSK 16 version),1990,美国, 英语,6.9
94,无限复活,刘镇伟,刘镇伟,郑伊健,张柏芝,关继威,"['剧情', '爱情', '科幻', '奇幻']",Hong Kong: 99 分钟,2002,香港, 粤语 / 英语,6.9
95,X档案：征服未来 The X Files,罗伯·鲍曼,克里斯·卡特,大卫·杜楚尼,吉莲·安德森,约翰·内威尔,"['科幻', '悬疑', '惊悚', '恐怖', '犯罪']",121 分钟,1998,加拿大 / 美国, 英语,6.9
96,007之太空城 Moonraker,刘易斯·吉尔伯特,克里斯托弗·伍德,罗杰·摩尔,洛伊丝·奇利斯,迈克尔·朗斯代尔,"['动作', '科幻', '惊悚', '冒险']",126 分钟,1979,英国 / 美国, 英语 / 意大利,6.9
97,时间陷阱 Time Trap,马克·丹尼斯,马克·丹尼斯,安德鲁·威尔逊,卡西迪·吉福德,布里安娜·豪伊,"['动作', '科幻', '冒险']",87分钟,2017,美国, 英语,6.9
98,神之谜 神様のパズル,三池崇史,中村雅,市原隼人,谷村美月,松本莉绪,['科幻'],Japan: 134 分钟,2008,日本, 日语,6.7
99,霹雳游侠2008电影版 Knight Rider,Steve Shill,David Andron & Glen A. Larson,Justin Bruening,Deanna Russo,Bruce Davison,['科幻'],80分钟,2008,美国, 英语,6.7
100,行尸走肉 Flesh for Frankenstein,保罗·莫里西,托尼诺·格拉,乔·达里桑德罗,莫妮克·范·盖德林,乌多·基尔,"['剧情', '科幻', '恐怖']",95 分钟,1973,美国 / 意大利 / 法国, 英语 / 法语,6.7
101,长江七号,周星驰,周星驰,周星驰,徐娇,张雨绮,"['喜剧', '科幻']",86分钟,2008,中国大陆 / 香港, 英语 / 汉语普通话 / 粤语,6.6
102,变形金刚4：绝迹重生 Transformers: Age of Extinction,迈克尔·贝,伊伦·克鲁格,马克·沃尔伯格,斯坦利·图齐,凯尔希·格兰莫,"['动作', '科幻']",166分钟,2014,美国 / 中国大陆, 英语 / 汉语普通话 / 粤语,6.6
103,神奇四侠 Fantastic Four,蒂姆·斯托瑞,Mark Frost,艾恩·格拉法德,杰西卡·阿尔芭,克里斯·埃文斯,"['动作', '科幻', '奇幻', '冒险']",106分钟,2005,美国 / 德国, 英语,6.6
104,绿巨人浩克 Hulk,李安,詹姆斯·夏慕斯,艾瑞克·巴纳,詹妮弗·康纳利,山姆·艾里奥特,"['剧情', '动作', '科幻']",138分钟,2003,美国, 英语 / 西班牙语,6.6
105,超人归来 Superman Returns,布莱恩·辛格,迈克尔·道赫蒂,布兰登·罗斯,凯特·波茨沃斯,凯文·史派西,"['动作', '科幻', '冒险']",154 分钟,2006,美国, 英语 / 德语 / 法语,6.6
106,钢铁苍穹 Iron Sky,提莫·沃伦索拉,Johanna Sinisalo,戈兹·奥托,茱莉亚·迭泽,克里斯托弗·卡比,"['喜剧', '动作', '科幻']",93分钟,2012,芬兰 / 德国 / 澳大利亚, 英语 / 德语,6.6
107,新哥斯拉 シン・ゴジラ,庵野秀明,庵野秀明,长谷川博己,竹野内丰,石原里美,"['剧情', '科幻', '灾难']",120分钟,2016,日本, 日语 / 英语,6.6
108,玉子 옥자,奉俊昊,奉俊昊,蒂尔达·斯文顿,安瑞贤,杰克·吉伦哈尔,"['剧情', '科幻', '冒险']",120分钟,2017,韩国 / 美国, 韩语 / 英语,6.6
109,隔绝 The Divide,泽维尔·吉恩斯,凯尔·穆勒,劳伦·日尔曼,迈克尔·比恩,米洛·文堤米利亚,"['科幻', '悬疑', '惊悚', '灾难']",110分钟,2011,德国 / 美国 / 加拿大, 英语,6.6
110,永远的蝙蝠侠 Batman Forever,乔·舒马赫,李·巴奇勒,方·基默,汤米·李·琼斯,金·凯瑞,"['动作', '科幻']",121 分钟,1995,美国 / 英国, 英语,6.6
111,杀戮都市 GANTZ,佐藤信介,渡边雄介,二宫和也,松山研一,吉高由里子,"['动作', '科幻']",130分钟,2010,日本, 日语,6.6
112,杀戮都市2 GANTZ PERFECT ANSWER,佐藤信介,渡边雄介,二宫和也,松山研一,吉高由里子,"['动作', '科幻']",141分钟,2011,日本, 日语,6.6
113,年鉴计划 Project Almanac,迪恩·以色列特,安德鲁·德科曼,乔尼·维斯顿,索菲亚·布莱克-德埃利亚,山姆·勒纳,"['科幻', '惊悚']",106分钟,2014,美国, 英语,6.6
114,别闯阴阳界 Flatliners,乔·舒马赫,彼得·费拉迪,基弗·萨瑟兰,朱莉娅·罗伯茨,凯文·贝肯,"['剧情', '科幻', '惊悚']",115 分钟,1990,美国, 英语,6.4
115,天袭 The Arrival,大卫·杜西,大卫·杜西,查理·辛,林赛·克洛斯,理查德·希夫,"['动作', '科幻', '悬疑', '惊悚']",115 分钟,1996,美国 / 墨西哥, 英语,6.4
116,魔神Z 劇場版 マジンガーZ / INFINITY,志水淳儿,永井豪,森久保祥太郎,茅野爱衣,上坂堇,"['科幻', '动画', '灾难']",94分钟(中国大陆),2018,日本, 日语,6.4
117,魔鬼二世 Junior,伊万·雷特曼,克里斯·康拉德,阿诺·施瓦辛格,丹尼·德维托,艾玛·汤普森,"['喜剧', '爱情', '科幻']",109 分钟,1994,美国, 英语,6.4
118,星球绿巨人 Planet Hulk,Greg Pak,Greg Pak,Rick D. Wasserman,丽萨·安·贝利,马克·海德斯,"['动作', '科幻', '动画']",81分钟,2010,美国, 英语,6.4
119,大屠杀：吞噬过去 Carnage: Swallowing the Past,西蒙·阿姆斯特尔,西蒙·阿姆斯特尔,萨曼莎·斯毕洛,詹姆斯·史密斯,詹姆斯·布鲁尔,['科幻'],68分钟,2017,英国, 英语,6.4
120,毛骨悚然 Shivers,大卫·柯南伯格,大卫·柯南伯格,保罗·汉普顿,乔·西尔弗,琳恩·劳里,"['科幻', '恐怖']",87 分钟,1975,加拿大, 英语,6.4
121,饥饿游戏3：嘲笑鸟(下) The Hunger Games: Mockingjay - Part 2,弗朗西斯·劳伦斯,丹尼·斯特朗,詹妮弗·劳伦斯,乔什·哈切森,利亚姆·海姆斯沃斯,"['动作', '科幻', '冒险']",136分钟,2015,美国, 英语,6.3
122,极乐空间 Elysium,尼尔·布洛姆坎普,尼尔·布洛姆坎普,马特·达蒙,朱迪·福斯特,沙尔托·科普雷,"['剧情', '动作', '科幻']",109分钟,2013,美国, 英语 / 法语 / 西班牙语 / 南非语,6.3
123,神奇四侠2 Fantastic 4: Rise of the Silver Surfer,蒂姆·斯托瑞,唐·佩恩,艾恩·格拉法德,杰西卡·阿尔芭,克里斯·埃文斯,"['动作', '科幻', '奇幻', '冒险']",92分钟,2007,美国 / 德国 / 英国 / 加拿大, 英语 / 日语 / 汉语普通话 / 阿拉伯语,6.3
