,a,c,e,g,i,k,l,m,n,o,p,q
1007,超狗任务 Underdog,弗雷德里克·杜周,Adam Rifkin,杰森·李,艾米·亚当斯,彼特·丁拉基,"['喜剧', '动作', '科幻', '家庭', '奇幻', '冒险']",USA: 84 分钟,2007,美国, 英语,6.4
1008,重返中世纪 Timeline,理查德·唐纳,乔治·诺非,保罗·沃克,弗兰西丝·奥康纳,杰拉德·巴特勒,"['动作', '科幻', '冒险']",116 分钟,2003,美国, 英语 / 法语,6.4
1009,楼上的外星人 Aliens in the Attic,John Schultz,Mark Burton,卡特·詹金斯,奥斯汀·巴特勒,阿什丽·提斯代尔,"['科幻', '家庭', '奇幻', '冒险']",86 分钟,2009,美国 / 加拿大, 英语,6.4
1010,变种DNA Mimic,吉尔莫·德尔·托罗,吉尔莫·德尔·托罗,米拉·索维诺,杰瑞米·诺森,吉安卡罗·吉安尼尼,"['剧情', '科幻', '恐怖']",105分钟,1997,美国, 英语 / 意大利语,6.4
1011,死亡半径 Radius,卡罗琳·拉布里奇,卡罗琳·拉布里奇,迪亚哥·克莱特霍夫,夏洛蒂·苏利文,罗伯特·博尔赫斯,"['科幻', '惊悚']",92分钟,2017,加拿大, 英语,6.4
1012,失陷猩球 Beneath the Planet of the Apes,泰德·珀斯特,莫特·亚伯拉罕斯,詹姆斯·弗朗西斯,金·亨特,莫里斯·埃文斯,"['动作', '科幻']",95 分钟,1970,美国, 英语,6.4
1013,急冻奇侠,霍耀良,麦当雄,元彪,元华,张曼玉,"['喜剧', '动作', '爱情', '科幻']",114 分钟,1989,香港, 粤语,6.4
1014,关公大战外星人 戰神,陈洪民,林清介,唐沁,谢玲玲,谷名伦,"['科幻', '奇幻']",91分钟,1976,台湾, 汉语普通话,6.4
1015,木星之卫 Jupiter holdja,凯内尔·穆德卢佐,凯内尔·穆德卢佐,梅拉布·尼尼泽,Zsombor Jéger,乔治·切豪尔米,"['剧情', '科幻']",123分钟,2017,匈牙利 / 德国, 匈牙利语,6.4
1016,超级少女 Supergirl,吉诺特·兹瓦克,David Odell,费·唐纳薇,海伦·斯雷特,彼得·奥图尔,"['动作', '科幻', '冒险']",124分钟,1984,英国 / 美国, 英语,6.4
1017,时空悍将 Virtuosity,Brett Leonard,Eric Bernt,丹泽尔·华盛顿,凯莉·林奇,罗素·克劳,"['动作', '科幻', '惊悚', '犯罪']",106 分钟,1995,美国, 英语,6.4
1018,回归者 Returner,山崎贵,山崎贵,金城武,铃木杏,树木希林,"['动作', '科幻', '冒险']",116 分钟,2002,日本, 日语 / 汉语普通话 / 英语,6.4
1019,无限密室 Infinity Chamber,特拉维斯·米洛伊,特拉维斯·米洛伊,克里斯托弗·索伦·凯利,卡桑德拉·克拉克,卡贾尔多·林赛,"['科幻', '惊悚']",103分钟,2016,美国, 英语,6.4
1020,纽约大逃亡 Escape from New York,约翰·卡朋特,约翰·卡朋特,库尔特·拉塞尔,李·范·克里夫,欧内斯特·博格宁,"['动作', '科幻', '冒险']",99 分钟,1981,英国 / 美国, 英语,6.4
1021,正义联盟：新的边际 Justice League: The New Frontier,Dave Bullock,Stan Berkowitz,Brooke Shields	 ... 	Carol Ferris (voice),Alan Ritchson	 ... 	Aquaman (voice),Lex Lang	 ... 	Rick Flag,"['动作', '科幻', '动画', '奇幻', '冒险']",75 分钟,2008,美国, 葡萄牙语 / 英语,6.4
1022,别闯阴阳界 Flatliners,乔·舒马赫,彼得·费拉迪,基弗·萨瑟兰,朱莉娅·罗伯茨,凯文·贝肯,"['剧情', '科幻', '惊悚']",115 分钟,1990,美国, 英语,6.4
1023,天袭 The Arrival,大卫·杜西,大卫·杜西,查理·辛,林赛·克洛斯,理查德·希夫,"['动作', '科幻', '悬疑', '惊悚']",115 分钟,1996,美国 / 墨西哥, 英语,6.4
1024,透明人2 Hollow Man II,Claudio Fäh,Joel Soisson,克里斯蒂安·史莱特,彼得·费辛利,Laura Regan,"['动作', '科幻', '惊悚', '恐怖']",91 分钟,2006,美国, 英语,5.6
1025,失落的大陆 Land of the Lost,布拉德·塞伯宁,克里斯·亨奇,威尔·法瑞尔,安娜·弗莱尔,乔玛·塔科内,"['喜剧', '科幻', '惊悚', '冒险']",102分钟,2009,美国, 英语,5.6
1026,灭绝 Extinction,米古尔·安格尔·维瓦斯,Juan de Dios Garduño,马修·福克斯,杰弗里·多诺万,奎恩·麦克科甘,"['剧情', '科幻', '恐怖']",110分钟,2015,西班牙 / 美国 / 匈牙利 / 法国, 英语,5.6
