,a,c,e,g,i,k,l,m,n,o,p,q
3357,衣柜里的男人 Der bewegte Mann,Sönke Wortmann,拉尔夫·柯尼希,Til Schweiger,Katja Riemann,Joachim Król,"['喜剧', '同性']",93 分钟,1994,德国, 德语,7.0
3358,美国之旅 Coming to America,约翰·兰迪斯,贝瑞·布劳斯坦,艾迪·墨菲,阿瑟尼奥·豪尔,詹姆斯·厄尔·琼斯,"['剧情', '喜剧', '爱情']",116 分钟,1988,美国, 英语,7.0
3359,仲夏夜性喜剧 A Midsummer Night's Sex Comedy,伍迪·艾伦,伍迪·艾伦,伍迪·艾伦,米亚·法罗,何塞·费勒,"['喜剧', '爱情']",88 分钟,1982,美国, 英语,7.0
3360,"爱情谎言 Lila, Lila",阿兰·葛斯彭纳,马丁·苏特,丹尼尔·布鲁尔,汉娜·赫茨施普龙,亨利·许布兴,['喜剧'],Germany: 104 分钟,2009,德国, 德语,7.0
3361,十六支蜡烛 Sixteen Candles,约翰·休斯,约翰·休斯,莫利·林沃德,安东尼·迈克尔·豪尔,迈克尔·舍夫林,"['喜剧', '爱情']",93 分钟,1984,美国, 英语,7.0
3362,最后的直男 The Last Straight Man,马克·贝森格尔,马克·贝森格尔,马克·奇尼洛,本杰明·鲁茨,斯科特·塞尔,"['剧情', '喜剧', '爱情', '同性']",110分钟,2014,美国, 英语,7.0
3363,猪肉馅饼 Pork Pie,马特·墨菲,马特·墨菲,迪恩·奥戈曼,詹姆斯·罗尔斯顿,艾什莉 康宁思,"['喜剧', '动作', '犯罪']",105分钟,2017,新西兰, 英语,7.0
3364,极度狂热 Fever Pitch,博比·法雷里,洛维尔·冈茨,德鲁·巴里摩尔,吉米·法伦,Jason Spevack,"['剧情', '喜剧', '爱情', '运动']",103 分钟,2005,美国, 英语,7.0
3365,再见完美结局 Not Another Happy Ending,约翰·麦凯,David Solomons,凯伦·吉兰,斯坦利·韦伯,伊恩·德·卡斯泰克,"['喜剧', '爱情']",102分钟,2013,英国, 英语,7.0
3366,爱情手册2 Manuale d'amore 2 (Capitoli successivi),Giovanni Veronesi,乌戈·奇蒂,莫妮卡·贝鲁奇,卡洛·维尔多内,里卡多·斯卡马乔,"['喜剧', '爱情']",120分钟,2007,意大利, 意大利语,7.0
3367,单身派对 The Stag,约翰·巴特勒,约翰·巴特勒,安德鲁·斯科特,布莱恩·格里森,艾米·胡伯曼,['喜剧'],94分钟,2013,爱尔兰, 英语,7.0
3368,晶兵总动员 Small Soldiers,乔·丹特,亚当·莱福金,丹尼斯·利瑞,克斯汀·邓斯特,格里高利·史密斯,"['喜剧', '动作', '科幻', '家庭', '冒险']",108 分钟,1998,美国, 英语,7.0
3369,神秘世界历险记,王云飞,王云飞,刘露,孟泉霖,陆揆,"['喜剧', '动画', '家庭', '奇幻', '冒险']",80分钟,2012,中国大陆, 汉语普通话,7.0
3370,笑太极 笑太極,袁和平 (Woo-ping Yuen),袁和平,甄子丹,袁祥仁,沉殿霞,"['喜剧', '动作']",87分钟,1984,香港, 粤语,7.0
3371,朝鲜男人在韩国 동해물과 백두산이,安真祐,安真祐,郑俊镐,孔炯轸,柳贤静,['喜剧'],104分钟,2003,韩国, 韩语,6.7
3372,第一次 The First Time,乔恩·卡斯丹,乔恩·卡斯丹,迪伦·奥布莱恩,克雷格·罗伯兹,布丽特·罗伯森,"['剧情', '喜剧', '爱情']",95分钟,2012,美国, 英语,6.7
3373,蒙面达虎 복면 달호,金尚灿,金尚灿,车太贤,李素妍,林彩茂,['喜剧'],114分钟,2007,韩国, 韩语,6.7
3374,就是闹着玩的,卢卫国,德卢,李易祥,岳云鹏,王彤,['喜剧'],92分钟,2012,中国大陆, 河南话,6.7
3375,二十五个孩子一个爹,黄宏,黄宏,黄宏,李琳,雷恪生,"['剧情', '喜剧']",87分钟,2001,中国大陆, 汉语普通话,6.7
3376,老大靠边闪2 Analyze That,哈罗德·雷米斯,Peter Steinfeld,罗伯特·德尼罗,比利·克里斯托,类型:,"['喜剧', '犯罪']",96 分钟,2002,美国 / 澳大利亚, 英语,6.7
3377,我老婆不是人 我老婆唔係人,陈德森,陈庆嘉,梁家辉,关之琳,胡枫,"['喜剧', '悬疑']",94分钟,1991,香港, 粤语,6.7
3378,贝城歹徒 The Baytown Outlaws,Brian Battles,Barry Battles,娜塔丽·马丁内斯,保罗·韦斯利,丹尼尔·库德摩尔,"['喜剧', '动作', '犯罪']",98分钟,2012,美国, 英语,6.7
3379,头师父一体2 투사부일체,金东元,姜锡范,郑俊镐,郑云宅,郑雄仁,"['喜剧', '动作']",125分钟,2006,韩国, 韩语,6.7
3380,钱袋 머니백,许俊亨,许俊亨,金武烈,朴熙顺,李璟荣,"['剧情', '喜剧', '犯罪']",101分钟,2018,韩国, 韩语,6.7
3381,求爱反斗星 求愛反鬥星,梁家树,大荣编剧组,张艾嘉,陈百祥,张国荣,['喜剧'],89分钟,1985,香港, 粤语,6.7
