,a,c,e,g,i,k,l,m,n,o,p,q
675,为子搬迁 Away We Go,萨姆·门德斯,戴夫·艾格斯,约翰·卡拉辛斯基,玛娅·鲁道夫,卡门·艾乔戈,"['剧情', '喜剧', '家庭']",98分钟,2009,美国 / 英国, 英语,7.6
676,果酱 Jam Films,北村龙平,高津隆一,广末凉子,大泽隆夫,妻夫木聪,"['剧情', '喜剧', '科幻', '奇幻']",109分钟,2002,日本, 日语 / 英语,7.6
677,加州之王 King of California,麦克·卡希尔,麦克·卡希尔,迈克尔·道格拉斯,埃文·蕾切尔·伍德,爱丽森·阿什莉·阿姆,"['剧情', '喜剧']",93 分钟,2007,美国, 英语 / 西班牙语,7.6
678,重金属囧途 Hevi reissu,裘索·拉提欧,裘索·拉提欧,托尔斯坦·比约克朗德,安蒂·希海基宁,维尔·希尔卡,"['喜剧', '音乐']",92分钟,2018,芬兰 / 挪威, 芬兰语 / 英语 / 挪威语,7.6
679,住货车的女士 The Lady in the Van,尼古拉斯·希特纳,阿兰·本奈特,玛吉·史密斯,吉姆·布劳德本特,阿历克斯·杰宁斯,"['剧情', '喜剧', '传记']",104分钟,2015,英国, 英语 / 法语,7.6
680,大人物拿破仑 Napoleon Dynamite,杰瑞德·赫斯,杰瑞德·赫斯,乔恩·海德,强·格瑞斯,亚伦瑞尔,"['剧情', '喜剧', '爱情']",82 分钟,2004,美国, 英语,7.6
681,丹尼·科林斯 Danny Collins,丹·福格尔曼,丹·福格尔曼,阿尔·帕西诺,安妮特·贝宁,詹妮弗·加纳,"['剧情', '喜剧', '音乐']",106分钟,2015,美国, 英语,7.6
682,绿卡 Green Card,彼得·威尔,彼得·威尔,热拉尔·德帕迪约,安迪·麦克道威尔,毕比·诺维尔什,"['喜剧', '爱情']",103分钟,1990,澳大利亚 / 法国 / 美国, 英语 / 法语 / 西班牙语,7.6
683,美丽新世界,施润玖,刘奋斗,陶虹,姜武,陈宁,"['剧情', '喜剧']",Germany: 97 分钟,1999,中国大陆 / 台湾, 粤语 / 汉语普通话,7.6
684,基佬四十,舒琪,邝文伟,林子祥,陈小春,吴镇宇,"['喜剧', '同性']",112 分钟,1997,香港, 粤语,7.6
685,金田一少年事件簿之上海人鱼传说 金田一少年の事件簿 上海魚人伝説,堤幸彦,田子明弘,堂本刚,古尾谷雅人,友坂理惠,"['喜剧', '悬疑', '恐怖', '犯罪']",116分钟,1997,日本, 日语,7.6
686,琳达！琳达！琳达！ リンダ リンダ リンダ,山下敦弘,向井康介,前田亚季,裴斗娜,香椎由宇,"['剧情', '喜剧', '音乐']",114分钟,2005,日本, 日语,7.6
687,大人物乔 Joe Somebody,约翰·帕斯昆,John Scott Shepherd,蒂姆·艾伦,朱丽·鲍温,凯莉·林奇,"['剧情', '喜剧', '爱情']",98 分钟,2001,美国, 英语,7.6
688,洋芋片 ポテチ,中村义洋,伊坂幸太郎,滨田岳,木村文乃,大森南朋,"['剧情', '喜剧']",68分钟,2012,日本, 日语,7.6
689,黄昏之恋 Love in the Afternoon,比利·怀德,比利·怀德,加里·库珀,奥黛丽·赫本,莫里斯·切瓦力亚,"['剧情', '喜剧', '爱情']",130 分钟,1957,美国, 英语 / 法语,7.6
690,记得香蕉成熟时 記得香蕉成熟時,赵良骏,李志毅,邓一君,曾志伟,冯宝宝,"['喜剧', '爱情']",93 分钟,1993,香港, 粤语,7.6
691,味浓情更浓 Tafelspitz,Xaver Schwarzenberger,Annika Pages,Annika Pages,扬·尼克拉斯,Christiane Hörbiger,['喜剧'],99 分钟,1994,奥地利 / 德国, 德语,8.4
692,我的家人和其他动物 My Family and Other Animals,谢雷·福克森,杰拉尔德·杜瑞尔,尤金·西蒙,马修·古迪,拉塞尔·托维,"['剧情', '喜剧']",90分钟,2005,UK, English,8.4
693,猫和老鼠：火星之旅 Tom and Jerry Blast Off to Mars!,Bill Kopp,Bill Kopp,杰夫·贝内特,科里·伯顿,凯瑟琳·费奥雷,"['喜剧', '动画']",71分钟,2005,美国, 英语,8.4
694,欢愉 Le plaisir,马克斯·奥菲尔斯,雅克·纳坦松,克洛德·多芬,加比·莫尔莱,马德莱娜·雷诺,"['剧情', '喜剧']",97 分钟,1952,法国, 法语,8.4
695,忍者小英雄 3 Ninjas,乔·德特杜巴,Edward Emanuel,黄自强,迈克尔·特雷纳,麦克斯·艾略特·斯莱德,"['喜剧', '动作', '运动']",84 分钟,1992,美国, 英语,8.4
696,开麦拉狂想曲 Living in Oblivion,汤姆·迪西罗,汤姆·迪西罗,史蒂夫·布西密,德蒙特·莫罗尼,凯瑟琳·基纳,"['剧情', '喜剧']",90分钟,1995,美国, 英语,8.4
697,与墨索里尼喝茶 Tea with Mussolini,佛朗哥·泽菲雷里,佛朗哥·泽菲雷里,雪儿,朱迪·丹奇,琼·普莱怀特,"['剧情', '喜剧', '战争']",117 分钟,1999,意大利 / 英国, 英语 / 意大利语,8.4
698,青青校树 Obecná škola,扬·斯维拉克,兹旦内克·斯维拉克,兹旦内克·斯维拉克,利布谢·赛文卡娃,鲁道夫·霍辛斯基,"['剧情', '喜剧', '战争']",100 分钟,1991,捷克斯洛伐克, 捷克语,8.4
699,人间有情,高志森,杜国威,周志辉,罗冠兰,高翰文,"['剧情', '喜剧']",98 分钟,1995,香港, 粤语,8.4
700,圣母街上的大人物 I soliti ignoti,马里奥·莫尼切利,阿杰诺雷·因克罗奇,维托里奥·加斯曼,雷纳托·萨尔瓦托雷,梅莫·卡罗泰努托,"['喜剧', '犯罪']",106分钟,1958,意大利, 意大利语,8.4
701,初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,普特鹏·普罗萨卡·那·萨克那卡林,普特鹏·普罗萨卡·那·萨克那卡林,平采娜·乐维瑟派布恩,马里奥·毛瑞尔,苏达拉·布查蓬,"['剧情', '喜剧', '爱情']",118分钟(泰国),2010,泰国, 泰语 / 印度尼西亚语 / 英语,8.3
702,驴得水,周申,周申,任素汐,大力,刘帅良,"['剧情', '喜剧']",111分钟,2016,中国大陆, 汉语普通话,8.3
703,西游记之大圣归来,田晓鹏,田晓鹏,张磊,林子杰,吴文伦,"['喜剧', '动作', '动画', '奇幻']",89分钟,2015,中国大陆, 汉语普通话 / 粤语,8.3
704,功夫,周星驰,曾瑾昌,周星驰,元秋,元华,"['喜剧', '动作', '犯罪', '奇幻']",100分钟(3D重映),2004,中国大陆 / 香港, 粤语 / 汉语普通话 / 手语,8.3
705,冰雪奇缘 Frozen,克里斯·巴克,珍妮弗·李,克里斯汀·贝尔,伊迪娜·门泽尔,乔纳森·格罗夫,"['喜剧', '动画', '歌舞', '奇幻']",102分钟,2013,美国, 英语 / 冰岛语,8.3
706,九品芝麻官,王晶,王晶,周星驰,吴孟达,张敏,"['喜剧', '古装']",108分钟,1994,香港, 粤语,8.3
707,海底总动员 Finding Nemo,安德鲁·斯坦顿,安德鲁·斯坦顿,艾伯特·布鲁克斯,艾伦·德杰尼勒斯,亚历山大·古尔德,"['喜剧', '动画', '家庭', '冒险']",100 分钟,2003,美国 / 澳大利亚, 英语,8.3
708,里约大冒险 Rio,卡洛斯·沙尔丹哈,唐·莱默,杰西·艾森伯格,安妮·海瑟薇,乔治·洛佩兹,"['喜剧', '动画', '冒险']",96分钟,2011,美国, 英语 / 葡萄牙语,8.3
709,美食总动员 Ratatouille,布拉德·伯德,布拉德·伯德,帕顿·奥斯瓦尔特,彼得·奥图尔,布拉德·加内特,"['喜剧', '动画', '奇幻']",111 分钟,2007,美国, 英语 / 法语,8.3
710,调音师 Andhadhun,斯里兰姆·拉格万,阿里吉特·比斯沃斯,阿尤斯曼·库拉纳,塔布,拉迪卡·艾普特,"['喜剧', '悬疑', '惊悚', '犯罪']",139分钟,2018,印度, 印地语,8.3
711,情非得已之生存之道,钮承泽,曾莉婷,钮承泽,张钧甯,屈中恒,['喜剧'],96分钟,2007,台湾, 汉语普通话,7.9
712,巨蟒与圣杯 Monty Python and the Holy Grail,特瑞·吉列姆,格雷厄姆·查普曼,格雷厄姆·查普曼,约翰·克立斯,艾瑞克·爱都,"['喜剧', '奇幻', '冒险']",91分钟,1975,英国, 英语 / 法语 / 拉丁语,7.9
713,水中生活 The Life Aquatic with Steve Zissou,韦斯·安德森,韦斯·安德森,比尔·默瑞,欧文·威尔逊,凯特·布兰切特,"['剧情', '喜剧', '冒险']",119 分钟,2004,美国, 英语 / 冰岛语 / 菲律宾语 / 葡萄牙语 / 法语 / 塔加路族语 / 德语 / 意大利语,7.9
714,幽灵世界 Ghost World,泰利·茨威戈夫,丹尼尔·克洛维斯,索拉·伯奇,斯嘉丽·约翰逊,史蒂夫·布西密,"['剧情', '喜剧']",111 分钟,2001,美国 / 英国 / 德国, 英语,7.9
715,家族之苦3 妻よ薔薇のように 家族はつらいよIII,山田洋次,山田洋次,桥爪功,吉行和子,西村雅彦,"['喜剧', '家庭']",123分钟,2018,日本, 日语,7.9
716,花月佳期,徐克,许莎朗,吴奇隆,杨采妮,葛民辉,"['喜剧', '爱情']",103 分钟,1995,香港, 粤语,7.9
717,谜中谜 Charade,斯坦利·多南,皮特·斯通,加里·格兰特,奥黛丽·赫本,沃尔特·马修,"['喜剧', '爱情', '悬疑', '惊悚']",113 分钟,1963,美国, 英语 / 法语 / 德语 / 意大利语,7.9
718,我们假期做了什么 What We Did On Our Holiday,Andy Hamilton,Andy Hamilton,大卫·田纳特,裴淳华,比利·康诺利,"['剧情', '喜剧']",95分钟,2014,英国, 英语,7.9
719,苏默斯小镇 Somers Town,西恩·迈德斯,Paul Fraser,Thomas Turgoose,Ireneusz Czop,Perry Benson,"['剧情', '喜剧']",71 分钟,2008,英国, 英语 / 波兰语 / 法语,7.9
720,蠢蛋搞怪秀2 Jackass Number Two,Jeff Tremaine,Jeff Tremaine,约翰尼·诺克斯维尔,班姆·玛吉瑞,Steve-O,['喜剧'],92 分钟,2006,美国, 英语,7.9
721,情迷高跟鞋 Tacones lejanos,佩德罗·阿莫多瓦,佩德罗·阿莫多瓦,维多利亚·阿夫里尔,玛丽萨·帕雷德斯,米盖尔·波斯,"['剧情', '喜剧', '爱情']",112 分钟,1991,西班牙 / 法国, 西班牙语,7.9
722,晚餐游戏 Le dîner de cons,弗朗西斯·韦贝尔,弗朗西斯·韦贝尔,蒂埃里·莱尔米特,雅克·维列雷,弗朗索瓦·乌斯特,['喜剧'],80 分钟,1998,法国, 法语,7.9
723,小孩不笨 I Not Stupid,梁智强,梁智强,梁智强,向云,黄博儒,"['剧情', '喜剧']",105分钟,2002,新加坡, 英语 / 汉语普通话 / 闽南语,7.9
724,陆军野战医院 MASH,罗伯特·奥特曼,小瑞因·拉德纳,唐纳德·萨瑟兰,埃利奥特·古尔德,汤姆·斯凯里特,"['剧情', '喜剧', '战争']",116 分钟,1970,美国, 英语 / 日语 / 韩语,7.9
725,地下铁 Subway,吕克·贝松,Alain Le Henry,伊莎贝尔·阿佳妮,克里斯多弗·兰伯特,让·雨果·安格拉德,"['剧情', '喜剧', '爱情', '惊悚', '犯罪']",104 分钟,1985,法国, 法语,7.9
726,一件幸福的事 Un heureux événement,雷米·贝占松,雷米·贝占松,露易丝·布尔昆,皮奥·马麦,若西安·巴拉斯科,"['剧情', '喜剧', '爱情', '家庭']",107分钟,2011,法国, 法语,7.9
727,小叮当与失去的宝藏 Tinker Bell and the Lost Treasure,克雷·豪尔,埃文·斯彼里奥托普洛斯,梅·惠特曼,杰西·麦卡尼,简·霍洛克斯,"['喜剧', '动画', '奇幻', '冒险']",81分钟,2009,美国, 英语,7.9
728,大狗民 หมานคร,韦西·沙赞那庭,韦西·沙赞那庭,Mahasamut Boonyaruk,Saengthong Gate-Uthong,Pen-Ek Ratanaruang,"['喜剧', '爱情', '奇幻']",100分钟,2004,泰国, 泰语,7.9
729,贪吃树 Otesánek,杨·史云梅耶,杨·史云梅耶,Veronika Zilková,Jan Hartl,Jaroslava Kretschmerová,"['剧情', '喜剧', '惊悚', '奇幻']",132 分钟,2000,捷克 / 日本 / 英国, 捷克语,7.9
730,暗金丑岛君2 闇金ウシジマくん Part2,山口雅俊,Shôhei Manabe,山田孝之,绫野刚,崎本大海,"['剧情', '喜剧', '犯罪']",133分钟,2014,日本, 日语,7.9
731,真爱百分百 Tout le monde debout,弗朗克·迪博斯克,弗朗克·迪博斯克,弗朗克·迪博斯克,亚历山德拉·拉米,艾尔莎·泽贝斯坦,"['喜剧', '爱情']",107分钟,2018,法国 / 比利时, 法语 / 英语 / 意大利语,7.6
732,玉蝎子的魔咒 The Curse of the Jade Scorpion,伍迪·艾伦,伍迪·艾伦,John Tormey,伍迪·艾伦,海伦·亨特,"['喜剧', '悬疑', '犯罪']",103 分钟,2001,德国 / 美国, 英语,7.6
733,校园风云 Election,亚历山大·佩恩,亚历山大·佩恩,马修·布罗德里克,瑞茜·威瑟斯彭,克里斯·克莱因,['喜剧'],103分钟,1999,美国, 英语 / 西班牙语,7.6
734,颠倒乾坤 Trading Places,约翰·兰迪斯,蒂莫西·哈里斯,丹·艾克罗伊德,艾迪·墨菲,拉尔夫·贝拉米,['喜剧'],116分钟,1983,美国, 英语,7.6
735,败家仔,洪金宝,黄炳耀,元彪,林正英,陈勋奇,"['喜剧', '动作']",USA: 100 分钟,1981,香港, 粤语,7.6
736,火线追凶之惊魂宴,胡明凯,吴峥,钟汉良,释小龙,齐芳,"['剧情', '喜剧']",95分钟,2009,中国大陆, 普通话/国语,7.6
737,和其他人一样 Comme les autres,Vincent Garenq,Vincent Garenq,朗贝尔·维尔森,帕斯卡·埃尔贝,皮拉尔·洛佩斯·德·阿亚拉,"['剧情', '喜剧', '爱情', '同性', '家庭']",90 分钟,2008,法国, 法语,7.6
738,孤独先生 Mister Lonely,哈莫尼·科林,哈莫尼·科林,迭戈·卢纳,萨曼莎·莫顿,德尼·拉旺,"['剧情', '喜剧']",113分钟,2007,英国 / 法国 / 爱尔兰 / 美国, 英语 / 法语,7.6
739,夏夏夏 하하하,洪尚秀,洪尚秀,金相庆,文素丽,刘俊相,"['剧情', '喜剧', '爱情']",115分钟,2010,韩国, 韩语,7.6
740,甜心大话王 The Importance of Being Earnest,奥利弗·帕克,奥利弗·帕克,鲁伯特·艾弗雷特,科林·费尔斯,弗兰西丝·奥康纳,"['剧情', '喜剧', '爱情']",97分钟,2002,英国 / 美国, 英语,7.6
741,芳名卡门 Prénom Carmen,让-吕克·戈达尔,安娜-玛丽·米埃维尔,玛鲁施卡·迪特马斯,贾克·鲍那非,米里昂·鲁塞尔,"['剧情', '喜剧', '爱情', '音乐', '犯罪']",85 分钟,1983,法国, 法语,7.6
742,他们最好的 Their Finest,罗勒·莎菲,盖比·奇亚普,杰玛·阿特登,山姆·克拉弗林,比尔·奈伊,"['剧情', '喜剧', '爱情', '战争']",117分钟,2016,英国 / 瑞典, 英语 / 匈牙利语,7.6
743,摇滚万万岁 This Is Spinal Tap,罗伯·莱纳,克里斯托弗·格斯特,罗伯·莱纳,迈克尔·麦基恩,克里斯托弗·格斯特,"['喜剧', '音乐']",82 分钟,1984,美国, 英语,7.6
744,两个穿运动服的人 ジャージの二人,中村义洋,中村义洋,鮎川誠,堺雅人,类型:,['喜剧'],94分钟,2008,日本, 日语,7.6
745,去见小洋葱的母亲 ペコロスの母に会いに行く,森崎东,阿久根知昭,岩松了,赤木春惠,原田贵和子,"['剧情', '喜剧', '家庭']",113分钟,2013,日本, 日语,7.6
746,再无可失 Nothing to Lose,史蒂夫·欧德科克,史蒂夫·欧德科克,蒂姆·罗宾斯,凯利·普雷斯顿,吕蓓卡·盖哈特,"['喜剧', '动作', '犯罪', '冒险']",98 分钟,1997,美国, 英语,7.6
747,魔诫坟场 Dellamorte Dellamore,米歇尔·索伊,吉亚尼·洛莫里,鲁伯特·艾弗雷特,安娜·法尔奇,François Hadji-Lazaro,"['喜剧', '爱情', '恐怖']",105 分钟,1994,法国 / 意大利 / 德国, 意大利语,7.6
748,七宝奇谋 The Goonies,理查德·唐纳,克里斯·哥伦布,西恩·奥斯汀,乔什·布洛林,杰夫·科恩,"['喜剧', '家庭', '冒险']",114 分钟,1985,美国, 英语 / 西班牙语 / 汉语普通话 / 意大利语,7.6
749,末路爱神 Venus,罗杰·米歇尔,汉尼夫·库雷什,彼得·奥图尔,莱斯利·菲利普斯,Beatrice Savoretti,"['剧情', '喜剧', '爱情']",95 分钟,2006,英国, 英语,7.6
750,上海之夜,徐克,司徒卓汉,钟镇涛,张艾嘉,叶倩文,"['喜剧', '歌舞']",103 分钟,1984,香港, 粤语,7.6
751,玩具总动员 Toy Story,约翰·拉塞特,乔斯·韦登,汤姆·汉克斯,蒂姆·艾伦,唐·里克斯,"['喜剧', '动画', '家庭']",81分钟,1995,美国, 英语,8.3
752,阳光小美女 Little Miss Sunshine,乔纳森·戴顿,迈克尔·阿恩特,阿比盖尔·布蕾斯琳,托妮·科莱特,格雷戈·金尼尔,"['剧情', '喜剧', '家庭']",101 分钟,2006,美国, 英语,8.3
753,甲方乙方,冯小刚,冯小刚,葛优,刘蓓,何冰,['喜剧'],90分钟,1997,中国大陆, 汉语普通话,8.3
754,犬之岛 Isle of Dogs,韦斯·安德森,韦斯·安德森,布莱恩·科兰斯顿,爱德华·诺顿,科宇·兰金,"['喜剧', '动画', '冒险']",97分钟(中国大陆),2018,美国 / 德国, 英语 / 日语,8.3
755,奇怪的她 수상한 그녀,黄东赫,申东益,沈恩京,罗文姬,朴仁焕,"['喜剧', '奇幻']",124分钟,2014,韩国, 韩语,8.3
756,"巴黎，我爱你 Paris, je t'aime",奥利维耶·阿萨亚斯,格斯·范·桑特,朱丽叶·比诺什,威廉·达福,娜塔莉·波特曼,"['剧情', '喜剧', '爱情']",120 分钟,2006,法国 / 列支敦士登 / 瑞士, 英语 / 法语 / 西班牙语 / 汉语普通话 / 阿拉伯语,8.3
757,家有喜事 家有囍事,高志森,谷德昭,张国荣,周星驰,张曼玉,"['剧情', '喜剧', '爱情', '家庭']",100分钟,1992,香港, 粤语,8.3
758,天生一对 The Parent Trap,南希·迈耶斯,查尔斯·谢尔,琳赛·洛翰,丹尼斯·奎德,娜塔莎·理查德森,"['喜剧', '爱情', '家庭', '儿童']",127分钟,1998,美国, 英语 / 法语,8.3
759,当哈利遇到莎莉 When Harry Met Sally...,罗伯·莱纳,诺拉·艾芙隆,梅格·瑞恩,比利·克里斯托,凯丽·费雪,"['剧情', '喜剧', '爱情']",96 分钟,1989,美国, 英语,8.3
760,金枝玉叶 金枝玉葉,陈可辛,阮世生,袁咏仪,张国荣,刘嘉玲,"['喜剧', '爱情', '同性']",107分钟,1994,香港, 粤语,8.3
761,濑户内海 セトウツミ,大森立嗣,大森立嗣,池松壮亮,菅田将晖,中条彩未,"['剧情', '喜剧']",75分钟,2016,日本, 日语,8.3
762,回到未来3 Back to the Future Part III,罗伯特·泽米吉斯,鲍勃·盖尔,迈克尔·J·福克斯,克里斯托弗·洛伊德,玛丽·斯汀伯根,"['喜剧', '科幻', '西部', '冒险']",118分钟,1990,美国, 英语,8.3
763,海鸥食堂 かもめ食堂,荻上直子,荻上直子,小林聪美,片桐入,罇真佐子,"['剧情', '喜剧']",102 分钟(日本),2006,日本, 日语 / 芬兰语,8.3
764,洗澡,张杨,张杨,姜武,濮存昕,朱旭,"['剧情', '喜剧', '家庭']",92分钟,1999,中国大陆, 汉语普通话,8.3
765,大坏狐狸的故事 Le Grand Méchant Renard et autres contes...,本杰明·雷内,本杰明·雷内,纪尧姆·达尔诺,席琳·荣特,达米安·维特卡,"['喜剧', '动画', '冒险']",83分钟,2017,法国 / 比利时, 法语,8.3
766,一个字头的诞生 一個字頭的誕生,韦家辉,韦家辉,刘青云,吴镇宇,李若彤,"['喜剧', '动作', '犯罪']",90 分钟,1997,香港, 粤语 / 汉语普通话,8.3
767,普罗旺斯的夏天 Avis de mistral,罗丝·博斯,罗丝·博斯,让·雷诺,安娜·加列娜,克洛伊·茹阿内,"['剧情', '喜剧', '家庭']",105分钟,2014,法国, 法语,8.3
768,率性而活 바르게 살자,罗喜灿,张镇,郑在咏,孙秉浩,李瀚伟,['喜剧'],102分钟,2007,韩国, 韩语,8.3
769,终极细胞战 Osmosis Jones,博比·法雷里,马克·海曼,克里斯·洛克,劳伦斯·菲什伯恩,比尔·默瑞,"['喜剧', '动作', '动画', '惊悚', '犯罪', '奇幻', '冒险']",95 分钟,2001,美国, 英语,7.9
770,小叮当：羽翼之谜 Secret of the Wings,罗伯茨·甘纳韦,罗伯茨·甘纳韦,梅·惠特曼,露西·海尔,提摩西·道尔顿,"['喜剧', '动画', '奇幻', '冒险']",75分钟,2012,美国, 英语,7.9
771,警察学校 Police Academy,休·威尔逊,休·威尔逊,斯蒂夫·古根伯格,金·凯特罗尔,G.W.拜利,"['喜剧', '犯罪']",96分钟,1984,美国, 英语,7.9
772,起名风波 Le prénom,亚历山大·德·拉·巴特里耶,亚历山大·德·拉·巴特里耶,帕特里克·布鲁尔,瓦莱丽·本圭圭,夏尔·贝尔林,['喜剧'],109分钟,2012,法国, 法语,7.9
773,十一罗汉 Ocean's Eleven,刘易斯·迈尔斯通,哈利·布朗,弗兰克·辛纳特拉,雪莉·麦克雷恩,安吉·迪金森,"['喜剧', '音乐', '犯罪']",127 分钟,1960,美国, 英语,7.9
774,女收藏家 La collectionneuse,埃里克·侯麦,埃里克·侯麦,帕特里克·波查,哈蒂·波丽托弗,Daniel Pommereulle,"['剧情', '喜剧', '爱情']",89 分钟,1967,法国, 法语 / 英语,7.9
775,关于施密特 About Schmidt,亚历山大·佩恩,亚历山大·佩恩,杰克·尼科尔森,凯西·贝茨,霍普·戴维斯,"['剧情', '喜剧']",125 分钟,2002,美国, 英语,7.9
776,女人就是女人 Une femme est une femme,让-吕克·戈达尔,让-吕克·戈达尔,让-克洛德·布里亚利,安娜·卡里娜,让-保罗·贝尔蒙多,"['剧情', '喜剧', '爱情', '歌舞']",85分钟,1961,法国 / 意大利, 法语,7.9
777,大篷车 Caravan,纳西尔·侯赛因,纳西尔·侯赛因,吉滕德拉,阿莎·帕雷克,阿鲁娜·伊拉尼,"['喜剧', '爱情', '歌舞']",161 分钟,1971,印度, 北印度语,7.9
778,女友礼拜五 His Girl Friday,霍华德·霍克斯,查尔斯·莱德勒,加里·格兰特,罗莎琳德·拉塞尔,拉尔夫·贝拉米,"['剧情', '喜剧', '爱情']",92 分钟,1940,美国, 英语 / 法语,7.9
779,傻瓜入狱记 Take the Money and Run,伍迪·艾伦,米基·罗斯,伍迪·艾伦,珍妮特·玛戈林,马塞尔·希莱尔,"['喜剧', '犯罪']",85 分钟,1969,美国, 英语,7.9
780,笑破铁幕 Top Secret!,大卫·扎克,大卫·扎克,方·基默,彼得·库欣,Christopher Villiers,"['喜剧', '动作', '爱情']",90 分钟,1984,美国 / 英国, 英语 / 德语 / 依地语,7.9
781,小猪宝贝2：小猪进城 Babe: Pig in the City,乔治·米勒,乔治·米勒,玛格达·苏班斯基,詹姆斯·克伦威尔,Mary Stein,"['喜剧', '奇幻', '冒险']",97 分钟,1998,澳大利亚, 英语,7.9
782,玛蒂尔达 Matilda,丹尼 迪维图 (Danny DeVito),尼古拉斯 凯赞 (Nicholas Kazan),玛拉·威尔逊,类型:,喜剧,"['喜剧', '家庭', '奇幻']",98 分钟,1996,美国, 英语,7.9
783,银色·性·男女 Short Cuts,罗伯特·奥特曼,罗伯特·奥特曼,安迪·麦克道威尔,布鲁斯·戴维森,朱丽安·摩尔,"['剧情', '喜剧']",187 分钟,1993,美国, 英语,7.9
784,我的表兄维尼 My Cousin Vinny,乔纳森·林恩,Dale Launer,乔·佩西,拉尔夫·马奇奥,玛丽莎·托梅,"['喜剧', '犯罪']",120 分钟,1992,美国, 英语,7.9
785,"呆头鹅 Play It Again, Sam",赫伯特·罗斯,伍迪·艾伦,黛安·基顿,伍迪·艾伦,杰里·莱西,"['喜剧', '爱情']",85 分钟,1972,美国, 英语 / 西班牙语,7.9
786,五个相扑的少年 シコふんじゃった。,周防正行,周防正行,本木雅弘,竹中直人,松田胜,"['喜剧', '运动']",105 分钟,1992,日本, 日语,7.9
787,卡普尔家的儿子们 Kapoor and Sons,沙昆·巴特拉,沙昆·巴特拉,施坦·马洛萨,阿莉雅·布哈特,法瓦德·可汗,"['剧情', '喜剧', '爱情']",132分钟,2016,印度, 印地语,7.9
788,同志音乐剧 The Big Gay Musical,卡斯帕·安德瑞斯,Fred M. Caruso,Daniel Robinson,Joey Dudding,Jeff Metzler,"['喜剧', '同性', '歌舞']",90分钟,2009,美国, 英语,7.6
789,我们梦中见 I'll See You in My Dreams,布雷特·海利,布雷特·海利,布莱思·丹纳,马丁·斯塔尔,琼·斯奎布,"['剧情', '喜剧']",92分钟,2015,美国, 英语,7.6
790,情到深处 Say Anything...,卡梅伦·克罗,卡梅伦·克罗,约翰·库萨克,艾农·斯凯,约翰·马奥尼,"['剧情', '喜剧', '爱情']",100 分钟,1989,美国, 英语,7.6
791,宇宙只有我和你 เรื่องรัก น้อยนิด มหาศาล,彭力·云旦拿域安,彭力·云旦拿域安,浅野忠信,Sinitta Boonyassak,Lalia Boonyassak,"['剧情', '喜剧', '爱情']",112 分钟,2003,泰国 / 日本, 泰语 / 日语 / 英语,7.6
792,那些年我们疯狂的青春 Yeh Jawaani Hai Deewani,阿洋·穆克尔吉,阿洋·穆克尔吉,迪皮卡·帕度柯妮,兰比尔·卡普尔,阿迪亚·罗伊·卡普尔,"['喜剧', '爱情', '歌舞']",139分钟,2013,印度, 印地语,7.6
793,爱即所求 All You Need is Love - Meine Schwiegertochter ist ein Mann,Edzard Onneken,Kerstin Österlin,Saskia Vester,安德列斯·赫尔吉·施密德,Manuel Witting,"['剧情', '喜剧', '爱情', '同性', '家庭']",92分钟,2009,德国, 德语,7.6
794,绿草地,宁浩,宁浩,达瓦,毕力格,戈利班,"['剧情', '喜剧']",100分钟,2005,中国大陆, Mongolian,7.6
795,我聘请了职业杀手 I Hired a Contract Killer,阿基·考里斯马基,阿基·考里斯马基,让-皮埃尔·利奥德,Margi Clarke,肯尼斯·考利,"['剧情', '喜剧']",79 分钟,1990,芬兰 / 德国 / 瑞典 / 法国 / 英国, 英语 / 芬兰语,7.6
796,10件或更少 10 Items or Less,布拉德·塞伯宁,布拉德·塞伯宁,摩根·弗里曼,帕斯·贝加,乔纳·希尔,"['剧情', '喜剧', '爱情']",82 分钟,2006,美国, 英语 / 西班牙语,7.6
797,浮生若梦 You Can't Take It with You,弗兰克·卡普拉,罗伯特·里斯金,詹姆斯·斯图尔特,琪恩·亚瑟,莱昂纳尔·巴里摩尔,"['喜剧', '爱情']",126分钟,1938,美国, 英语,7.6
798,最后的话 The Last Word,马克·佩灵顿,斯图尔特·罗斯·芬克,雪莉·麦克雷恩,阿曼达·塞弗里德,安妮朱尔·李·狄克逊,"['剧情', '喜剧']",108分钟,2017,美国, 英语,7.6
799,福尔摩斯秘史 The Private Life of Sherlock Holmes,比利·怀德,比利·怀德,罗伯特·斯蒂芬斯,科林·布莱克利,吉内瓦维·佩吉,"['喜剧', '爱情', '悬疑', '惊悚', '犯罪', '冒险']",125 分钟,1970,英国, 英语 / 俄语 / 法语,7.6
800,苏利文的旅行 Sullivan's Travels,普莱斯顿·斯特奇斯,普莱斯顿·斯特奇斯,乔尔·麦克雷,维罗妮卡·莱克,罗伯特·沃里克,"['剧情', '喜剧', '爱情', '冒险']",90 分钟,1941,美国, 英语,7.6
801,都是戴茜惹的祸 Because of Winn-Dixie,王颖,约翰·辛格顿,杰夫·丹尼尔斯,爱娃·玛丽·森特,西西莉·泰森,"['剧情', '喜剧', '家庭']",106 分钟,2005,美国, 英语,7.6
