,a,c,e,g,i,k,l,m,n,o,p,q
1,胡丽叶塔 Julieta,佩德罗·阿莫多瓦,佩德罗·阿莫多瓦,埃玛·苏亚雷斯,阿德里亚娜·乌加特,丹尼尔·格劳,"['剧情', '爱情', '悬疑']",99分钟,2016,西班牙, 西班牙语,7.4
2,不当交易 부당거래,柳昇完,朴勋政,柳昇范,黄政民,千虎珍,"['悬疑', '惊悚']",119分钟,2010,韩国, 韩语,7.4
3,记忆之夜 기억의 밤,张恒准,张恒准,姜河那,金武烈,文成根,"['悬疑', '惊悚']",109分钟,2017,韩国, 韩语,7.4
4,抚养亚利桑纳 Raising Arizona,伊桑·科恩,伊桑·科恩,尼古拉斯·凯奇,霍利·亨特,特雷·威尔逊,"['喜剧', '悬疑', '犯罪', '冒险']",94 分钟,1987,美国, 英语,7.4
5,趣味游戏 Funny Games,迈克尔·哈内克,迈克尔·哈内克,苏珊娜·洛塔尔,乌尔里希·穆埃,亚诺·弗里斯奇,"['剧情', '悬疑', '惊悚', '犯罪']",108 分钟,1997,奥地利, 德语 / 法语 / 意大利语,7.4
6,活死人之夜 Night of the Living Dead,乔治·A·罗梅罗,乔治·A·罗梅罗,杜安·琼斯,朱迪丝·奥迪娅,卡尔·哈德曼,"['悬疑', '恐怖']",96 分钟,1968,美国, 英语,7.4
7,深闺疑云 Suspicion,阿尔弗雷德·希区柯克,山姆森·雷佛森,琼·芳登,加里·格兰特,塞德里克·哈德威克,"['剧情', '悬疑', '惊悚']",99 分钟,1941,美国, 英语,7.4
8,悬崖上的野餐 Picnic at Hanging Rock,彼得·威尔,克利夫·格林,Rachel Roberts,威文·格雷,海伦·摩斯,"['剧情', '悬疑', '惊悚', '恐怖']",115 分钟,1975,澳大利亚, 英语 / 法语,7.4
9,蝶变 蝶變,徐克,林凡,刘兆铭,黄树棠,高雄,"['动作', '悬疑', '武侠', '古装']",88 分钟,1979,香港, 粤语,7.4
10,梅格雷的亡者 Maigret's Dead Man,荣·伊斯特,斯图尔特·哈考特,罗温·艾金森,安娜玛丽亚·玛琳卡,约翰·莱特,"['剧情', '悬疑', '犯罪']",88分钟,2016,英国, 英语,7.4
11,凶兆 The Omen,理查德·唐纳,大卫·斯勒茨,格利高里·派克,丽·莱米克,大卫·沃纳,"['悬疑', '恐怖']",111 分钟,1976,英国 / 美国, 英语 / 拉丁语 / 意大利语,7.4
12,夜长梦多 The Big Sleep,霍华德·霍克斯,威廉·福克纳,亨弗莱·鲍嘉,劳伦·白考尔,约翰·里德格利,"['悬疑', '惊悚', '犯罪', '黑色电影']",114 分钟,1946,美国, 英语,7.4
13,异世浮生 Jacob's Ladder,阿德里安·莱恩,布鲁斯·乔尔·鲁宾,蒂姆·罗宾斯,伊丽莎白·佩纳,丹尼·爱罗,"['剧情', '悬疑', '惊悚']",113分钟,1990,美国, 英语,7.4
14,时间裂缝 The Langoliers,汤姆·霍兰德,斯蒂芬·金,帕特丽夏·温迪,大卫·摩斯,弗兰基·费森,"['科幻', '悬疑', '惊悚', '恐怖']",180分钟,1995,USA, English,7.4
15,变蝇人 The Fly,Kurt Neumann (I),乔治·朗格兰,大卫·海迪生,帕特里夏·欧文斯,文森特·普莱斯,"['科幻', '悬疑', '恐怖']",94 分钟,1958,美国, 英语,7.4
16,嘿玛 嘿玛 Hema Hema: Sing Me a Song While I Wait,宗萨钦哲仁波切,宗萨钦哲仁波切,次仁多吉,瑟东·拉姆,廷里·多吉,"['剧情', '悬疑']",96分钟,2016,不丹 / 香港, 宗卡语,7.4
17,北方的金丝雀 北のカナリアたち,阪本顺治,那须真知子,吉永小百合,柴田恭兵,仲村亨,"['剧情', '悬疑']",122分钟,2012,日本, 日语,7.4
18,悍将奇兵 Breakdown,乔纳森·莫斯托,乔纳森·莫斯托,库尔特·拉塞尔,凯瑟琳·奎南,J.T. Walsh,"['悬疑', '惊悚', '犯罪']",93 分钟,1997,美国, 英语,7.4
19,遗传厄运 Hereditary,阿里·艾斯特,阿里·艾斯特,亚历克斯·沃尔夫,加布里埃尔·伯恩,托妮·科莱特,"['悬疑', '惊悚', '恐怖']",127分钟,2018,美国, 英语,7.1
20,范海辛 Van Helsing,斯蒂芬·索莫斯,斯蒂芬·索莫斯,休·杰克曼,凯特·贝金赛尔,罗彼·考特拉尼,"['剧情', '动作', '悬疑', '惊悚', '奇幻', '冒险']",131 分钟,2004,捷克 / 美国, 英语 / 拉丁语,7.1
21,灵魂摆渡·黄泉,巨兴茂,小吉祥天,于毅,何花,王瑞昌,"['悬疑', '惊悚', '奇幻']",111分钟,2018,中国大陆, 汉语普通话,7.1
22,"蔷花，红莲 장화, 홍련",金知云,金知云,林秀晶,文根英,廉晶雅,"['剧情', '悬疑', '惊悚', '恐怖']",115 分钟,2003,韩国, 韩语,7.1
23,杀人漫画 더 웹툰 : 예고살인,金容钧,Hoo-Kyoung Lee,严基俊,李诗英,金显祐,"['悬疑', '惊悚', '犯罪']",104分钟,2013,韩国, 韩语,7.1
24,鹰眼 Eagle Eye,D·J·卡卢索,约翰·格伦,希亚·拉博夫,罗莎里奥·道森,米歇尔·莫纳汉,"['动作', '悬疑', '惊悚']",118分钟,2008,美国 / 德国, 英语,7.1
25,游戏之夜 Game Night,约翰·弗朗西斯·戴利,马克·佩雷斯,杰森·贝特曼,瑞秋·麦克亚当斯,凯尔·钱德勒,"['喜剧', '悬疑', '犯罪']",100分钟,2018,美国, 英语,7.1
26,一个小忙 A Simple Favor,保罗·费格,杰西卡·沙泽尔,安娜·肯德里克,布蕾克·莱弗利,亨利·戈尔丁,"['剧情', '悬疑', '犯罪']",117分钟,2018,美国 / 加拿大, 英语,7.1
27,第三度嫌疑人 三度目の殺人,是枝裕和,是枝裕和,福山雅治,役所广司,广濑铃,"['剧情', '悬疑', '犯罪']",124分钟,2017,日本, 日语,7.1
28,脑男 脳男,泷本智行,真边克彦,生田斗真,松雪泰子,江口洋介,"['悬疑', '犯罪']",125分钟,2013,日本, 日语,7.1
29,空中危机 Flightplan,罗伯特·斯文克,彼得·A·道林,朱迪·福斯特,彼得·萨斯加德,肖恩·宾,"['剧情', '悬疑', '惊悚']",98 分钟,2005,美国, 英语 / 德语,7.1
30,沉睡的青春 沈睡的青春,郑芬芬,郑芬芬,张孝全,郭碧婷,钟欣凌,"['爱情', '悬疑']",92分钟,2007,台湾, 汉语普通话,7.1
31,小贼、美女和妙探 Kiss Kiss Bang Bang,沙恩·布莱克,沙恩·布莱克,小罗伯特·唐尼,方·基默,米歇尔·莫纳汉,"['喜剧', '动作', '悬疑', '惊悚', '犯罪']",103分钟,2005,美国, 英语,7.1
32,德州电锯杀人狂 The Texas Chain Saw Massacre,托比·霍珀,托比·霍珀,玛丽莲·伯恩斯,阿伦·丹齐格,保罗·A·普泰,"['悬疑', '恐怖']",83 分钟,1974,美国, 英语,7.1
33,奥罗拉公主 오로라 공주,方银振,严正化,严正化,文成根,类型:,"['剧情', '悬疑', '犯罪']",106 分钟,2005,韩国, 韩语,7.1
34,四兄弟 Four Brothers,约翰·辛格顿,大卫·艾略特,马克·沃尔伯格,泰瑞斯·吉布森,安德雷·本杰明,"['剧情', '动作', '悬疑', '惊悚', '犯罪']",109 分钟,2005,美国, 英语,7.1
35,转轮手枪 Revolver,盖·里奇,盖·里奇,杰森·斯坦森,雷·利奥塔,维森特·帕斯托雷,"['剧情', '悬疑', '惊悚', '犯罪']",115 分钟,2005,法国 / 英国, 英语 / 粤语,7.1
36,中毒 중독,朴英勋,卞沅美,李秉宪,李美妍,郑仁基,"['剧情', '爱情', '悬疑', '惊悚']",110分钟,2002,韩国, 韩语,7.1
37,迈克尔·克莱顿 Michael Clayton,托尼·吉尔罗伊,托尼·吉尔罗伊,乔治·克鲁尼,汤姆·威尔金森,蒂尔达·斯文顿,"['剧情', '悬疑', '惊悚', '犯罪']",119 分钟,2007,美国, 英语,7.1
38,觉醒 The Awakening,尼克·墨菲,斯蒂芬·沃尔克,丽贝卡·豪尔,多米尼克·威斯特,艾美达·斯丹顿,"['悬疑', '惊悚', '恐怖']",107分钟,2011,英国, 英语,6.8
39,鬼水怪谈 仄暗い水の底から,中田秀夫,中村义洋,黑木瞳,菅野莉央,小日向文世,"['剧情', '悬疑', '惊悚', '恐怖']",101分钟,2002,日本, 日语,6.8
40,20世纪少年 20世紀少年 第1章 終わりの始まり,堤幸彦,福田靖,唐泽寿明,丰川悦司,常盘贵子,"['科幻', '悬疑', '奇幻', '冒险']",142 分钟,2008,日本, 日语 / 泰语 / 英语,6.8
41,金田一少年事件簿：吸血鬼传说杀人事件 金田一少年の事件簿 吸血鬼伝説殺人事件,池田健司,天樹征丸,龟梨和也,上野树里,加藤雅也,['悬疑'],105分钟,2005,日本, 日语,6.8
42,穿越西伯利亚 Transsiberian,布拉德·安德森,布拉德·安德森,艾米莉·莫迪默,伍迪·哈里森,凯特·玛拉,"['剧情', '悬疑', '惊悚', '犯罪']",111 分钟,2008,英国 / 德国 / 西班牙 / 立陶宛, 英语 / 俄语,6.8
43,小镇怪客托马斯 Odd Thomas,斯蒂芬·索莫斯,迪恩·孔茨,安东·叶利钦,艾狄森·蒂姆林,阿什利·萨默斯,"['喜剧', '悬疑', '惊悚']",100分钟,2013,美国, 英语,6.8
44,暗夜列车 Night Train,Brian King,Brian King,莉莉·索博斯基,史蒂夫·茨恩,丹尼·格洛弗,"['动作', '悬疑', '惊悚', '犯罪']",91分钟,2009,美国 / 德国 / 罗马尼亚, 英语,6.8
45,控制的极限 The Limits of Control,吉姆·贾木许,吉姆·贾木许,伊萨赫·德·班克尔,阿莱克斯·德斯卡,让-弗朗索瓦·斯泰弗南,"['剧情', '悬疑', '惊悚', '犯罪']",116 分钟,2009,西班牙 / 美国 / 日本, 英语 / 西班牙语 / 希伯来语 / 法语 / 日语,6.8
46,蝙蝠侠：煤气灯下的哥谭 Batman: Gotham by Gaslight,刘山姆,詹姆斯·克里格,布鲁斯·格林伍德,詹妮弗·卡朋特,克里斯·考克斯,"['动作', '科幻', '动画', '悬疑', '犯罪']",78分钟,2018,美国, 英语,6.8
47,9号谋杀案 Session 9,Brad Anderson,Brad Anderson,大卫·卡罗素,Stephen Gevendon,保罗·吉尔福伊尔,"['悬疑', '恐怖']",100 分钟,2001,美国, 英语,6.8
48,夺面解码 Vidocq,皮托夫,皮托夫,热拉尔·德帕迪约,吉约姆·卡内,依蕾·莎丝特,"['悬疑', '惊悚', '犯罪', '奇幻']",98 分钟,2001,法国, 法语,6.8
49,无底洞,江涛,江涛,沙溢,瞿颖,叶青,"['剧情', '喜剧', '悬疑']",91分钟,2011,中国大陆, 汉语普通话,6.8
50,杀死信使 Kill the Messenger,迈克尔·科斯塔,彼得·兰德斯曼,玛丽·伊丽莎白·温斯特德,麦克·辛,杰瑞米·雷纳,"['剧情', '悬疑', '犯罪']",112分钟,2014,美国, 英语,6.8
51,犬神家族 犬神家の一族,市川昆,日高真也,石坂浩二,松岛菜菜子,深田恭子,"['剧情', '悬疑', '惊悚']",134 分钟,2006,日本, 日语,6.8
52,异魔禁区 Dagon,斯图尔特·戈登,Ezra Godden,Ezra Godden,Francisco Rabal,Macarena Gómez,"['悬疑', '惊悚', '恐怖', '奇幻']",95 分钟,2001,西班牙, 英语 / Galician / 西班牙语,6.8
53,寂静的地球 The Quiet Earth,杰夫·墨菲,Craig Harrison,布鲁诺·劳伦斯,艾莉森·劳特利奇,佩特·史密斯,"['剧情', '科幻', '悬疑']",91分钟,1985,新西兰, 英语,6.8
54,无知无觉 Insensibles,胡安·卡洛斯·梅迪纳,胡安·卡洛斯·梅迪纳,亚历克斯·布伦德缪尔,托马斯·勒马尔奎斯,Ilias Stothart,"['剧情', '悬疑', '惊悚']",100分钟,2012,法国 / 西班牙 / 葡萄牙, 西班牙语 / 德语 / 英语 / 加泰罗尼亚语,6.8
55,路易·德拉克斯的第九条命 The 9th Life of Louis Drax,亚历山大·阿嘉,麦克思·明格拉,詹米·多南,艾登·朗沃斯,莎拉·加顿,"['悬疑', '惊悚']",108分钟,2016,加拿大 / 英国 / 美国, 英语,6.8
56,血色侦程：1974 Red Riding: The Year of Our Lord 1974,朱里安·杰拉德,托尼·格里索尼,安德鲁·加菲尔德,大卫·莫瑞瑟,约翰·亨肖,"['剧情', '悬疑', '惊悚', '犯罪']",102分钟,2009,英国, 英语,6.8
57,战前童年 The Childhood of a Leader,布拉迪·科贝特,布拉迪·科贝特,罗伯特·帕丁森,斯塔西·马汀,利亚姆·坎宁安,"['剧情', '悬疑', '恐怖']",115分钟,2015,英国 / 法国 / 匈牙利, 英语 / 法语 / 德语,6.8
58,灵动：鬼影实录 Paranormal Activity,奥伦·佩利,奥伦·佩利,凯蒂·菲德斯通,Micah Sloat,Mark Fredrichs,"['悬疑', '恐怖']",97分钟,2007,美国, 英语,6.5
59,安娜贝尔2：诞生 Annabelle: Creation,大卫·F·桑德伯格,加里·多伯曼,斯黛芬妮·西格曼,特丽莎·贝特曼,露露·威尔逊,"['悬疑', '惊悚', '恐怖']",109分钟,2017,美国, 英语,6.5
60,女蛹,邱处机,邱处机,张榕容,任泉,李威,"['爱情', '悬疑', '惊悚']",94分钟,2013,中国大陆, 汉语普通话,6.5
61,88分钟 88 Minutes,乔恩·阿维奈,盖瑞·斯科特·汤普森,阿尔·帕西诺,特里尔比·格洛弗,艾丽西亚·维特,"['剧情', '悬疑', '惊悚']",108分钟,2007,德国 / 美国 / 加拿大, 英语,6.5
62,灵数23 The Number 23,乔·舒马赫,Fernley Phillips,金·凯瑞,维吉妮娅·马德森,罗根·勒曼,"['剧情', '悬疑', '惊悚']",101分钟,2007,美国, 英语,6.5
63,天兆 Signs,M·奈特·沙马兰,M·奈特·沙马兰,梅尔·吉布森,杰昆·菲尼克斯,罗瑞·卡尔金,"['剧情', '科幻', '悬疑', '惊悚']",106 分钟,2002,美国, 英语 / 葡萄牙语,6.5
64,渴望 渇き。,中岛哲也,中岛哲也,役所广司,小松菜奈,妻夫木聪,['悬疑'],118分钟,2014,日本, 日语,6.5
65,鬼域,彭顺,钱江汉,李心洁,李彩桦,周俊伟,"['悬疑', '惊悚', '恐怖', '奇幻']",108 分钟,2006,香港 / 泰国, 粤语,6.5
66,梨泰院杀人事件 이태원 살인사건,洪基善,洪基善,张根硕,郑镇荣,吴达洙,"['悬疑', '惊悚', '犯罪']",100分钟,2009,韩国, 韩语,6.5
67,忽然七日 Before I Fall,莱·拉索-扬,玛丽娅·玛根蒂,佐伊·达奇,豪斯顿·塞奇,洛根·米勒,"['剧情', '悬疑']",99分钟,2017,美国, 英语,6.5
68,黑暗乡村 Dark Country,托马斯·简,Tab Murphy,朗·普尔曼,托马斯·简,劳伦·日尔曼,"['悬疑', '惊悚', '犯罪']",USA: 88 分钟,2009,美国, 英语,6.5
69,鬼影人 Gothika,马修·卡索维茨,塞巴斯蒂安·古提耶雷兹,哈莉·贝瑞,佩内洛普·克鲁兹,小罗伯特·唐尼,"['悬疑', '惊悚', '恐怖']",98 分钟,2003,美国, 英语,6.5
70,阿娘 아랑,安相勋,安相勋,宋允儿,李栋旭,李忠秀,"['爱情', '悬疑', '恐怖']",97分钟,2006,韩国, 韩语,6.5
71,高个夜魔 The Tall Man,巴斯卡·劳吉哈,巴斯卡·劳吉哈,杰西卡·贝尔,威廉·B·戴维斯,祖蒂·弗兰,"['悬疑', '惊悚', '恐怖']",106分钟,2012,美国 / 加拿大, 英语,6.5
72,同步 Synchronicity,雅各布·詹特利,雅各布·詹特利,查德·麦克奈特,布莱安娜·戴维斯,AJ·鲍恩,"['科幻', '悬疑', '惊悚']",101分钟,2015,美国, 英语,6.5
73,边城浪子 邊城浪子,陈勋奇,陈勋奇,狄龙,陈勋奇,陈玉莲,"['剧情', '动作', '悬疑']",107分钟,1993,香港, 粤语,6.5
74,替身 The Double,Michael Brandt,迈克尔·布拉德特,史蒂芬·莫耶,托弗·戈瑞斯,理查·基尔,"['剧情', '悬疑', '惊悚', '犯罪']",98分钟,2011,美国, 英语,6.5
75,猛鬼屋 House on Haunted Hill,William Malone,Dick Beebe,杰弗里·拉什,法米克·詹森,泰雅·迪格斯,"['悬疑', '惊悚', '恐怖']",93 分钟,1999,美国, 英语,6.5
76,鬼入侵 The Haunting,扬·德·邦特,戴维·塞尔夫,莉莉·泰勒,凯瑟琳·泽塔-琼斯,连姆·尼森,"['悬疑', '惊悚', '恐怖']",113 分钟,1999,美国, 英语,6.2
77,假日惊情 A Bigger Splash,卢卡·瓜达尼诺,大卫·凯根内奇,拉尔夫·费因斯,达科塔·约翰逊,马提亚斯·修奈尔,"['剧情', '悬疑', '犯罪']",124分钟,2015,意大利 / 法国, 英语 / 意大利语,6.2
78,鬼讯号 White Noise,杰弗里·萨克斯,尼尔·约翰逊,Micheal Keaton,Deborah Unger,Chandra West,"['剧情', '科幻', '悬疑', '惊悚', '恐怖']",101 分钟,2005,加拿大 / 英国 / 美国, 英语,6.2
79,盒装美人 Boxing Helena,詹妮弗·林奇,Philippe Caland,朱利安·山德斯,雪琳·芬,比尔·帕克斯顿,"['剧情', '爱情', '悬疑', '惊悚']",107 分钟,1993,美国, 英语,6.2
80,学生闹翻天 Student Bodies,迈克尔·里奇,米基·罗斯,Matthew Goldsby,Richard Brando,类型:,"['喜剧', '悬疑', '恐怖']",86 分钟,1981,美国, 英语,6.3
81,卫斯理之老猫 衛斯理之老貓,蓝乃才,陈庆嘉,李子雄,伍咏薇,叶蕴仪,"['科幻', '悬疑', '惊悚', '恐怖']",84 分钟,1992,香港, 粤语,6.2
82,鬼恋 The Entity,西德尼·J·弗里尔,弗兰克·德·费里塔,芭芭拉·赫希,罗恩·西维尔,大卫·拉比奥萨,"['悬疑', '惊悚', '恐怖']",125 分钟,1982,美国, 英语,6.2
83,罪爱 Crime d'amour,阿兰·科诺,纳塔利·卡特,克里斯汀·斯科特·托马斯,露德温·塞尼耶,Patrick Mille,"['悬疑', '惊悚', '犯罪']",104分钟,2010,法国, 法语,6.2
84,记忆重现 Rememory,马克·帕兰斯基,马克·帕兰斯基,彼特·丁拉基,马特·埃利斯,乔丹娜·拉吉,"['剧情', '科幻', '悬疑']",111分钟,2017,美国 / 加拿大, 英语,6.2
85,"猪头，我的车咧？ Dude, Where's My Car?",Danny Leiner,Philip Stark,阿什顿·库彻,西恩·威廉·斯科特,詹妮弗·加纳,"['喜剧', '动作', '科幻', '悬疑']",83 分钟,2000,美国, 英语 / 日语 / 法语,6.2
86,单人夜曲 Solo,Marcelo Briem Stamm,Marcelo Briem Stamm,帕特里西奥·拉莫斯,马里奥·贝隆,卡洛斯·埃切维里亚,"['悬疑', '同性']",77分钟,2013,阿根廷, 西班牙语,6.2
87,壁男,早川涉,早川涉,堺雅人,小野真弓,水户日根己,"['剧情', '悬疑', '惊悚', '恐怖', '犯罪']",98分钟,2006,日本, 日语,6.2
88,换屋惊魂 Switch,Frédéric Schoendoerffer,Frédéric Schoendoerffer,卡琳·瓦纳斯,埃里克·坎通纳,Mehdi Nebbou,"['动作', '悬疑', '惊悚', '犯罪']",104分钟,2011,法国, 法语,6.2
89,双套结杀手 The Clovehitch Killer,邓肯·斯基尔斯,克里斯托弗·D·福特,查理·普拉默,迪伦·麦克德莫特,萨曼莎·玛西丝,"['剧情', '悬疑', '惊悚']",109分钟,2018,美国, 英语,6.2
90,守塔人 The Vanishing,克里斯托弗·尼霍姆,乔·伯恩,杰拉德·巴特勒,彼得·穆兰,康纳·斯温德尔,"['剧情', '悬疑', '惊悚']",107分钟,2018,英国, 英语,6.2
91,7号差馆 7號差館,邱礼涛,雷宇扬,许志安,李丽珍,雷宇扬,"['悬疑', '恐怖', '犯罪']",91分钟,2001,香港, 粤语,6.2
92,少年特工科迪2 Agent Cody Banks 2: Destination London,凯文·艾伦,唐·莱默,弗朗基·穆尼兹,安东尼·安德森,汉娜 ·斯皮尔里特,"['喜剧', '动作', '爱情', '悬疑', '家庭', '犯罪', '冒险']",100 分钟,2004,美国, 英语,6.2
93,谋杀论文 Tesis sobre un homicidio,Hernán Goldfrid,Diego Paszkowski,里卡多·达林,阿尔维托·阿曼,卡露·里维罗,"['悬疑', '惊悚', '犯罪']",106分钟,2013,阿根廷 / 西班牙, 西班牙语,6.2
94,南极日记 남극일기,任弼星,奉俊昊,宋康昊,刘智泰,姜惠贞,"['悬疑', '惊悚', '恐怖']",115分钟,2005,韩国, 韩语,6.2
95,幕后玩家,任鹏远,任鹏远,徐峥,王丽坤,王砚辉,"['剧情', '悬疑', '犯罪']",114分钟,2018,中国大陆, 汉语普通话,5.7
96,B+侦探 B+偵探,彭顺,彭顺,郭富城,廖启智,徐正溪,"['剧情', '悬疑', '惊悚', '犯罪']",100分钟,2011,香港 / 中国大陆, 粤语 / 汉语普通话 / 泰语,5.7
97,冰河追凶,徐伟,徐伟,梁家辉,佟大为,周冬雨,"['动作', '悬疑', '犯罪']",102分钟,2016,中国大陆, 汉语普通话,5.7
98,密室之不可告人,张番番,小雨,苏有朋,吴佩慈,胡明,"['悬疑', '惊悚']",95分钟,2010,中国大陆, 普通话/国语,5.7
99,在劫难逃 Abduction,约翰·辛格顿,肖恩·克里斯汀森,泰勒·洛特纳,莉莉·柯林斯,阿尔弗雷德·莫里纳,"['剧情', '动作', '悬疑', '惊悚']",106分钟(美国),2011,美国, 英语,5.7
100,少年,杨树鹏,卢文莹,欧豪,张译,余男,"['悬疑', '犯罪']",111分钟,2016,中国大陆, 汉语普通话,5.7
101,鬼来电 One Missed Call,Eric Valette,Andrew Klavan,莎妮·索萨蒙,爱德华·伯恩斯,阿祖拉·斯凯,"['悬疑', '惊悚', '恐怖']",87 分钟,2008,美国 / 日本 / 德国, 英语,5.7
102,冬日奇缘 Winter's Tale,阿齐瓦·高斯曼,阿齐瓦·高斯曼,科林·法瑞尔,马特·波莫,露西·格里菲思,"['剧情', '悬疑', '奇幻']",118分钟,2014,美国, 英语,5.7
103,灵虐 เมมโมรี่ รักหลอน,冬彭坦坎亨,冬彭坦坎亨,亞萊特愛華,麥察蓉普拉,类型:,"['悬疑', '惊悚', '恐怖']",90分钟,2008,泰国, 泰语,5.7
104,恶魔在身后 두사람이다,吴基焕,吴基焕,尹珍序,李己雨,朴基雄,"['悬疑', '惊悚', '恐怖']",85分钟,2007,韩国, 韩语,5.7
105,杀人狂魔 Maniac,弗兰克·卡方,亚历山大·阿嘉,伊莱贾·伍德,阿美莉嘉·奥利沃,诺拉·阿娜泽德尔,"['悬疑', '恐怖', '犯罪']",89分钟,2012,美国, 英语,5.7
106,诊所惊魂 The Clinic,James Rabbitts,James Rabbitts,塔布莱特·贝赛尔,弗雷娅·斯塔福,安迪·惠特菲尔德,"['悬疑', '惊悚', '恐怖', '犯罪']",94分钟,2010,澳大利亚, 英语,5.7
107,刺夜,任鹏远,张启音,蒲巴甲,杜奕衡,吴卫东,"['动作', '悬疑']",95分钟,2013,中国大陆, 汉语普通话,5.7
108,玩尽杀绝4：四人组 Wild Things: Foursome,Andy Hurst,Jillian Murray,Jillian Murray,Ashley Parker Angel,Jessie Nickson,"['剧情', '悬疑', '惊悚', '犯罪']",92 分钟,2010,美国, 英语,5.7
109,孤立者 외톨이,朴在植,朴在植,郑有锡,蔡敏瑞,高恩雅,"['悬疑', '惊悚', '恐怖']",104分钟,2008,韩国 / 日本, 韩语,5.7
110,由内而外 From Within,Phedon Papamichael,Brad Keene,伊丽莎白·瑞丝,托马斯·戴克,凯利·布拉茨,"['悬疑', '惊悚', '恐怖']",89 分钟,2008,美国, 英语,5.7
111,撒旦的奴隶 Pengabdi Setan,乔可·安华,乔可·安华,博朗·帕拉雷,塔拉·巴斯罗,恩迪·阿菲安,"['悬疑', '恐怖']",107分钟,2017,印度尼西亚 / 韩国, 印度尼西亚语,5.7
112,雅典娜：无间谍局 아테나: 전쟁의 여신 극장판,金荣俊,郑雨盛,郑雨盛,秀爱,车胜元,"['动作', '爱情', '悬疑']",117分钟,2011,韩国, 韩语,4.8
113,D坂杀人事件 D坂の殺人事件,窪田将治,窪田将治,祥子,河合龙之介,草野康太,"['悬疑', '情色']",114分钟,2015,日本, 日语,4.8
114,血之猎手 Rise,塞巴斯蒂安·古提耶雷兹,塞巴斯蒂安·古提耶雷兹,刘玉玲,罗伯特·福斯特,卡梅隆·理查德森,"['动作', '悬疑', '惊悚', '恐怖']",USA: 94 分钟,2007,美国 / 新西兰, 英语,4.8
115,猛鬼吹灯之寻龙决,王子,刘卓,刘卓,刘依桐,类型:,"['剧情', '喜剧', '悬疑', '惊悚']",63分钟,2015,中国大陆, 汉语普通话,4.8
116,暗魔怨 Gallows Hill,维克特·加西亚,Richard D'Ovidio,彼得·费辛利,索菲娅·迈尔斯,娜塔莉亚·罗蒙丝,"['悬疑', '惊悚', '恐怖']",87分钟,2013,美国, 英语 / 西班牙语,4.8
117,等待指示 Await Further Instructions,Johnny Kevorkian,Gavin Williams,大卫·布拉德利,Abigail Cruttenden,Neerja Naik,"['科幻', '悬疑', '恐怖']",91分钟,2017,英国, 英语,4.8
118,浮出水面的影子,贾东朔,贾东朔,沈傲君,张伟欣,李佳,"['剧情', '悬疑', '惊悚']",95分钟,2012,中国大陆, 汉语普通话,4.8
119,盗墓笔记,李仁港,南派三叔,井柏然,鹿晗,马思纯,"['悬疑', '奇幻', '冒险']",123分钟,2016,中国大陆, 汉语普通话,4.7
120,那年夏天你去了哪里,周隼,周隼,宋佳,林家栋,颜卓灵,['悬疑'],89分钟,2016,中国大陆 / 香港, 汉语普通话,4.7
121,笔仙,安兵基,刘晗,梅婷,郭京飞,吴超,"['悬疑', '恐怖']",94分钟,2012,中国大陆, 汉语普通话,4.7
122,皇家刺青,冯超,许声亮,黄小蕾,王劲松,张桐,"['剧情', '悬疑', '武侠', '古装']",91分钟,2009,中国, 汉语普通话 / 中文,4.7
123,重生爱人,曹大伟,曹大伟,王丽坤,金汎,郑元畅,"['爱情', '悬疑']",89分钟,2015,中国大陆, 汉语普通话,4.7
124,灯红酒绿杀人夜 Prom Night,尼尔森·麦科米克,J·S·卡多内,布兰特妮·斯诺,斯科特·波特,杰西卡·斯特普,"['悬疑', '惊悚', '恐怖']",88 分钟,2008,美国 / 加拿大, 英语 / 意大利语,4.7
125,有只僵尸暗恋你 有隻僵屍暗戀你,王晶,王晶,何卓莹,张嘉伦,郭晋安,"['剧情', '喜剧', '悬疑', '惊悚', '恐怖', '犯罪']",Hong Kong: 99 分钟,2008,香港, 粤语,4.7
126,封门诡影,王孟圆,温河,张铎,刘一莹,葛天,"['悬疑', '惊悚']",92分钟,2015,中国大陆, 汉语普通话,4.7
127,四非,黄柏基,陈鹏振,周柏豪 ,李悦彤,廖启智,"['悬疑', '惊悚']",103分钟,2015,香港, 粤语,4.7
128,幸存日 The Day,Douglas Aarniokoski,Luke Passmore,Shannyn Sossamon,类型:,悬疑,"['悬疑', '惊悚']",87分钟,2011,加拿大, 英语,4.7
129,失忆症 Amnesiac,麦克·鲍力施,Amy Kolquist,凯特·波茨沃斯,韦斯·本特利,Olivia Rose Keegan,"['剧情', '悬疑', '惊悚', '恐怖']",84分钟,2015,美国, 英语,4.7
130,三枪拍案惊奇,张艺谋,徐正超,小沈阳,闫妮,孙红雷,"['喜剧', '悬疑', '古装']",95 分钟,2009,中国大陆 / 香港, 汉语普通话 / 英语,4.6
131,控方证人 Witness for the Prosecution,比利·怀德,阿加莎·克里斯蒂,泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,"['剧情', '悬疑', '犯罪']",116分钟,1957,美国, 英语 / 德语,9.6
132,十二怒汉 Studio One: Twelve Angry Men,富兰克林·沙夫纳,雷金纳德·罗斯,罗伯特·卡明斯,法兰奇·汤恩,爱德华·阿诺德,"['剧情', '悬疑', '犯罪']",52分钟,1954,美国, 英语,9.4
