,a,c,e,g,i,k,l,m,n,o,p,q
1279,今夜你会不会来 Haunted,刘易斯·吉尔伯特,鲍勃·凯利特,艾丹·奎因,凯特·贝金赛尔,安东尼·安德鲁斯,"['剧情', '爱情', '悬疑', '奇幻']",108 分钟,1995,英国 / 美国, 英语,7.2
1280,地狱 Inferno,达里奥·阿基多,达里亚·尼科洛迪,埃莉奥诺拉∙吉奥尔吉,阿尼娅·皮艾洛丽,雷·麦克劳斯基,"['悬疑', '惊悚', '恐怖']",107 分钟,1980,意大利, 英语,6.9
1281,萧十一郎 蕭十一郎,楚原,楚原,狄龙,井莉,刘永,"['动作', '悬疑']",86 分钟,1978,香港, 汉语普通话,6.9
1282,假面饭店 マスカレード・ホテル,铃木雅之,岡田道尚,木村拓哉,长泽雅美,滨田岳,"['剧情', '悬疑', '犯罪']",133分钟,2019,日本, 日语,6.9
1283,蛇蝎情人 Dream Lover,尼古拉斯·卡赞,尼古拉斯·卡赞,詹姆斯·斯派德,梅晨·阿米克,类型:,"['剧情', '悬疑', '惊悚']",103 分钟,1993,美国, 英语 / 德语,6.9
1284,死亡约会 Appointment with Death,迈克尔·温纳,阿加莎·克里斯蒂,彼得·乌斯蒂诺夫,劳伦·白考尔,凯丽·费雪,"['悬疑', '惊悚', '犯罪']",108分钟,1988,美国, 英语,6.9
1285,终极速度 Terminal Velocity,德兰·萨拉菲安,David Twohy,Nastassja Kinski,Charlie Sheen,类型:,"['动作', '悬疑', '惊悚']",102 分钟,1994,美国 / 加拿大, 英语,6.9
1286,消失的地平线 Lost Horizon,弗兰克·卡普拉,罗伯特·里斯金,罗纳德·考尔曼,简·维亚特,爱德华·艾沃瑞特·霍顿,"['剧情', '悬疑', '奇幻', '冒险']",132 分钟(original version),1937,美国, 英语 / 汉语普通话,6.9
1287,另一个人的生活 La vie d'une autre,西尔维·泰斯蒂,西尔维·泰斯蒂,朱丽叶·比诺什,马修·卡索维茨,类型:,"['剧情', '喜剧', '悬疑']",97分钟,2012,法国, 法语,6.9
1288,地球最后的夜晚,毕赣,毕赣,汤唯,黄觉,张艾嘉,"['剧情', '爱情', '悬疑']",138分钟,2018,中国大陆 / 法国, 贵州方言 / 汉语普通话,6.8
1289,你好，疯子！,饶晓志,饶晓志,万茜,周一围,王自健,"['剧情', '喜剧', '悬疑']",107分钟,2016,中国大陆, 汉语普通话,6.8
1290,电锯惊魂8：竖锯 Jigsaw,迈克尔·斯派瑞,皮特·古德芬格,马特·帕斯摩尔,托宾·贝尔,考乐姆·吉斯·雷尼,"['悬疑', '惊悚', '恐怖']",92分钟,2017,美国 / 加拿大, 英语,6.8
1291,白夜行,深川栄洋,深川栄洋,堀北真希,高良健吾,船越英一郎,"['剧情', '悬疑']",149分钟,2010,日本, 日语,6.8
1292,老师的恩惠 스승의 은혜,林大雄,朴世烈,徐英姬,吴美熙,吕贤洙,"['悬疑', '惊悚', '恐怖']",93 分钟,2006,韩国, 韩语,6.8
1293,幽灵船 Ghost Ship,史蒂芬·贝克,Mark Hanlon,加布里埃尔·伯恩,朱丽安娜· 玛格丽丝,朗·埃达德,"['悬疑', '惊悚', '恐怖']",91分钟,2002,美国 / 澳大利亚, 英语 / 意大利语,6.8
1294,提着心吊着胆,李雨禾,李雨禾,陈玺旭,高叶,任素汐,"['剧情', '喜剧', '悬疑', '犯罪']",97分钟,2016,中国大陆, 汉语普通话,6.8
1295,捉迷藏 숨바꼭질,许政,许政,孙贤周,文晶熙,全美善,"['悬疑', '惊悚', '犯罪']",107分钟,2013,韩国, 韩语,6.8
1296,第39号案件 Case 39,克里斯蒂安·阿瓦特,Ray Wright,蕾妮·齐薇格,布莱德利·库珀,祖蒂·弗兰,"['悬疑', '惊悚', '恐怖']",109 分钟,2009,美国 / 加拿大, 英语,6.8
1297,13骇人游戏 13 เกมส์สยอง,楚克·萨克瑞科,楚克·萨克瑞科,Krissada Terrence,Sarunyu Wongkrachang,Penpak Sirikul,"['悬疑', '惊悚', '犯罪']",114 分钟,2006,泰国, 泰语 / 英语,6.8
1298,完美逃亡 A Perfect Getaway,大卫·杜西,大卫·杜西,米拉·乔沃维奇,玛丽·谢尔顿,蒂莫西·奥利芬特,"['动作', '悬疑', '惊悚']",98 分钟,2009,美国, 英语,6.8
1299,洞 The Hole,Nick Hamm,Ben Court,Thora Birch,凯拉·奈特莉,Embeth Davidtz,"['剧情', '悬疑', '惊悚', '恐怖']",102 分钟,2001,英国, 英语,6.6
1300,双重时间 La doppia ora,Giuseppe Capotondi,Alessandro Fabbri,Kseniya Rappoport,Filippo Timi,类型:,"['剧情', '悬疑', '惊悚']",95 分钟,2009,意大利, 意大利语 / 西班牙语,6.6
1301,德国好人 The Good German,史蒂文·索德伯格,保罗·阿塔那斯奥,乔治·克鲁尼,凯特·布兰切特,托比·马奎尔,"['剧情', '悬疑', '惊悚']",105 分钟,2006,美国, 英语 / 德语 / 俄语,6.6
1302,神秘的大佛,张华勋,谢洪,刘晓庆,葛存壮,江庚辰,"['剧情', '动作', '悬疑', '惊悚', '恐怖', '犯罪', '武侠']",100分钟,1980,中国, 国语,6.6
1303,骗局 Don McKay,Jake Goldberger,杰克·哥德博尔格,Thomas Haden Church,Elisabeth Shue,Melissa Leo,"['剧情', '悬疑', '惊悚']",87 分钟,2009,美国, 英语,6.6
1304,寻宝假期 Without a Paddle,史蒂文·布里尔,Fred Wolf,马修·里沃德,类型:,喜剧,"['喜剧', '悬疑', '冒险']",95 分钟,2004,美国, 英语,6.6
1305,性昏迷 Bad Timing,尼古拉斯·罗伊格,Yale Udoff,阿特·加芬克尔,泰莉莎·拉塞尔,哈威·凯特尔,"['剧情', '悬疑']",123 分钟,1980,英国, 英语 / 德语 / 捷克语 / 法语,6.6
1306,大约三十个谎言 約三十の嘘,大谷健太郎,土田英生,椎名桔平,中谷美纪,妻夫木聪,"['喜剧', '悬疑']",100分钟,2004,日本, 日语,6.6
1307,酷猫妙探 That Darn Cat,Bob Spiers,比尔·沃尔什,克里斯蒂娜·里奇,道格·伊·道格,类型:,"['喜剧', '动作', '悬疑', '家庭']",89 分钟,1997,美国, 英语,6.6
1308,萨满教的迷恋 Szamanka,安德烈·祖拉斯基,曼纽拉·格雷科瓦斯卡,勃库斯洛·林达,Iwona Petry,Piotr Machalica,"['剧情', '悬疑', '恐怖']",110 分钟,1996,波兰 / 法国 / 瑞士, 波兰语,6.6
1309,脚下 Beneath,Dagen Merrill,nora zehetner,nora zehetner,类型:,悬疑,"['悬疑', '惊悚', '恐怖']",82 分钟,2007,美国, 英语,6.6
1310,呼喊 叫,黑泽清,黑泽清,役所广司,小西真奈美,叶月里绪奈,"['悬疑', '惊悚', '恐怖']",104 分钟,2006,日本, 日语,6.6
1311,自由国度 Freedomland,乔·罗斯,理查德·普莱斯,塞缪尔·杰克逊,朱丽安·摩尔,威廉·弗西斯,"['剧情', '悬疑', '惊悚', '犯罪']",113 分钟,2006,美国, 意大利语 / 英语,6.6
1312,黑水仙 흑수선,裴昶浩,裴昶浩,李政宰,李美妍,安圣基,"['剧情', '动作', '爱情', '悬疑']",104 分钟,2001,韩国, 韩语 / 日语,6.6
1313,野兽 Beast,迈克·皮尔斯,迈克·皮尔斯,强尼·弗林,杰西·巴克利,杰拉丁妮·詹姆斯,"['剧情', '爱情', '悬疑']",107分钟,2017,英国, 英语,6.6
1314,弹丸论破3 -The End of 希望之峰学园- 希望篇 ダンガンロンパ3 -The End of 希望ヶ峰学園- 希望編,福岡大生,海法纪光,绪方惠美,斋藤千和,本乡奏多,"['剧情', '动画', '悬疑']",24分钟,2016,日本, 日语,6.6
1315,老木逢春 Turks & Caicos,戴维·黑尔,戴维·黑尔,薇诺娜·瑞德,克里斯托弗·沃肯,比尔·奈伊,"['剧情', '悬疑']",95分钟,2014,英国, 英语,6.6
1316,驿动的心 Random Hearts,西德尼·波拉克,达里尔·波尼克森,哈里森·福特,克里斯汀·斯科特·托马斯,类型:,"['剧情', '爱情', '悬疑']",133 分钟,1999,美国, 英语,6.6
1317,杀人如麻 Cradle of Fear,Alex Chandon,Alex Chandon,埃米莉·布思,Louie Brownsell,艾琳·达利,"['剧情', '悬疑', '惊悚', '恐怖', '犯罪']",120分钟,2001,英国, 英语,6.6
1318,迷镇凶案 Suburbicon,乔治·克鲁尼,乔尔·科恩,马特·达蒙,朱丽安·摩尔,奥斯卡·伊萨克,"['喜剧', '悬疑', '犯罪']",104分钟,2017,美国 / 英国, 英语,6.2
1319,恋爱中的宝贝,李少红,郑重,黄觉,周迅,陈坤,"['剧情', '爱情', '悬疑']",95 分钟,2004,中国, 汉语普通话,6.2
1320,针孔旅馆 Vacancy,尼姆罗德·安陶尔,Mark L. Smith,Kate Beckinsale,Luke Wilson,Frank Whaley,"['剧情', '悬疑', '惊悚', '恐怖']",85分钟,2007,美国, 英语,6.2
1321,杀出狂人镇 The Crazies,Breck Eisner,Scott Kosar,蒂莫西·奥利芬特,拉达·米切尔,Joe Reegan,"['剧情', '动作', '科幻', '悬疑', '惊悚', '恐怖']",101 分钟,2010,美国 / 阿联酋, 英语,6.2
1322,惊声尖叫3 Scream 3,韦斯·克雷文,伊伦·克鲁格,内芙·坎贝尔,列维·施瑞博尔,柯特妮·考克斯,"['悬疑', '恐怖', '犯罪']",116 分钟,2000,美国, 英语,6.2
1323,夺命手机 Echelon Conspiracy,格雷格·马克斯,Michael Nitsberg,夏恩·韦斯特,爱德华·伯恩斯,文·瑞姆斯,"['动作', '悬疑', '惊悚', '犯罪']",105 分钟,2009,美国, 英语,6.2
1324,梦宅诡影 Dream House,吉姆·谢里丹,David Lucas,丹尼尔·克雷格,蕾切尔·薇兹,娜奥米·沃茨,"['剧情', '悬疑', '惊悚']",92分钟,2011,美国, 英语,6.2
1325,灰姑娘 신데렐라,奉万大,孙光秀,申世京,陶智媛,刘多仁,"['剧情', '悬疑', '惊悚', '恐怖']",106分钟,2006,韩国, 韩语,6.2
1326,咒怨(美版) The Grudge,清水崇,Stephen Susco,莎拉·米歇尔·盖拉,比尔·普尔曼,杰森·贝尔,"['悬疑', '恐怖']",92 分钟,2004,美国 / 日本 / 德国, 英语 / 日语,6.2
1327,克隆人 Replicas,杰弗利·纳赫马诺夫,查德·圣·约翰,基努·里维斯,爱丽丝·伊芙,艾米丽·阿琳·林德,"['科幻', '悬疑', '犯罪']",107分钟,2018,英国 / 中国大陆 / 波多黎各 / 美国, 英语,6.2
