,a,c,e,g,i,k,l,m,n,o,p,q
64,安娜·玛格达丽娜·巴赫的编年史 Chronik der Anna Magdalena Bach,达尼埃尔·于伊耶,达尼埃尔·于伊耶,Eckart Bruntjen,Rainer Kirchner,古斯塔夫·莱昂哈,"['剧情', '音乐', '传记', '历史']",94 分钟,1968,西德 / 意大利, 德语,7.9
65,美妙共振 Good Vibrations,Lisa Barros D'Sa,Glenn Patterson,朱迪·惠特克,迪兰·莫兰,利亚姆·坎宁安,"['音乐', '传记']",103分钟,2012,英国, 英语,7.9
66,我的哥哥是独生子 Mio fratello è figlio unico,丹尼埃莱·卢凯蒂,丹尼埃莱·卢凯蒂,埃利奥·杰曼诺,里卡多·斯卡马乔,安杰拉·菲诺基亚罗,"['剧情', '喜剧', '音乐', '犯罪']",USA: 108 分钟,2007,意大利 / 法国, 意大利语,7.9
67,舞动天地 Take the Lead,里兹·弗德兰德,戴安妮·休斯顿,安东尼奥·班德拉斯,罗伯·布朗,阿尔法·伍达德,"['剧情', '音乐']",118 分钟,2006,美国, 英语,7.7
68,红松鼠杀人事件 La ardilla roja,胡里奥·密谭,胡里奥·密谭,埃玛·苏亚雷斯,南乔·诺沃,玛丽亚·巴兰科,"['剧情', '喜剧', '爱情', '悬疑', '音乐']",114 分钟,1993,西班牙, 西班牙语 / 德语,7.7
69,柏林召唤 Berlin Calling,汉尼·斯托尔,汉尼·斯托尔,Paul Kalkbrenner,科琳娜·哈弗奇,Rita Lengyel,"['剧情', '喜剧', '音乐']",Argentina: 105 分钟,2008,德国, 德语,7.7
70,不害臊的姑娘 L'effrontée,克洛德·米勒,克洛德·米勒,夏洛特·甘斯布,克洛蒂尔德·博东,朱莉·格伦,"['喜剧', '爱情', '音乐']",96 分钟,1985,法国, 法语,7.7
71,"纽约，纽约 New York, New York",马丁·斯科塞斯,Earl Mac Rauch,丽莎·明奈利,罗伯特·德尼罗,莱昂内尔·斯坦德,"['剧情', '爱情', '音乐', '歌舞']",155 分钟,1977,美国, 英语,7.7
72,闪电舞 Flashdance,阿德里安·莱恩,乔·埃泽特哈斯,詹妮弗·比尔斯,迈克尔·诺里,莉利亚·斯卡瓦,"['剧情', '爱情', '音乐']",95 分钟,1983,美国, 英语,7.7
73,污垢 The Dirt,杰夫·特里梅因,汤姆·卡皮诺斯,道格拉斯·布斯,机关枪凯利,丹尼尔·韦伯,"['音乐', '传记']",107分钟,2019,美国, 英语,7.7
74,灵魂歌手 Soul Men,马尔科姆·D·李,Robert Ramsey,塞缪尔·杰克逊,詹妮佛·库里奇,伯尼·麦克,"['剧情', '喜剧', '音乐']",100 分钟,2008,美国, 英语,7.7
75,牧场之家好做伴 A Prairie Home Companion,罗伯特·奥特曼,加里森·凯勒尔,梅丽尔·斯特里普,莉莉·汤姆林,伍迪·哈里森,"['剧情', '喜剧', '音乐', '歌舞']",105 分钟,2006,美国, 英语,7.7
