,a,c,e,g,i,k,l,m,n,o,p,q
155,爵士灵魂 Miles Ahead,唐·钱德尔,史蒂夫·柏格曼,唐·钱德尔,伊万·麦克格雷格,伊梅雅格特伊·科伦尼伊乐迪,"['剧情', '音乐', '传记']",100分钟,2015,美国, 英语,6.4
156,练·恋·舞 練·戀·舞,郭珍弟,郭珍弟,张孝全,蔡淑臻,张复健,"['剧情', '喜剧', '爱情', '音乐']",Taiwan: 93 分钟,2009,台湾, 汉语普通话,6.4
157,反斗智多星 Wayne's World,佩内洛普·斯皮瑞斯,Bonnie Turner,麦克·梅尔斯,达纳·卡维,罗伯·劳,"['喜剧', '音乐']",94 分钟,1992,美国, 英语 / 粤语,6.4
158,星梦泪痕 Glitter,沃迪·科蒂斯·霍尔,Cheryl L. West,玛丽亚·凯莉,马克思·比斯雷,小家伙,"['爱情', '音乐']",104分钟,2001,美国, 英语,6.0
159,小提琴 Violine,Roman Ilyushenko,Roman Ilyushenko,Johannes Huth,Hannes Sell,类型:,"['同性', '音乐']",12分钟,2012,德国, 德语,6.0
160,四月是你的谎言 四月は君の嘘,新城毅彦,新川直司,广濑铃,山崎贤人,石井杏奈,"['剧情', '爱情', '音乐']",122分钟,2016,日本, 日语,5.9
161,完美音调3 Pitch Perfect 3,翠西·西埃,凯·加农,安娜·肯德里克,蕾蓓尔·威尔森,布兰特妮·斯诺,"['喜剧', '音乐']",93分钟,2017,美国, 英语,5.9
162,偶像先生 Mr. 아이돌,罗喜灿,罗喜灿,池贤宇,朴宰范,金秀路,"['剧情', '音乐']",114分钟,2011,韩国, 韩语,5.9
163,龙之舞 Dance of the Dragon,Max Mannix,Max Mannix,张赫,范文芳,李截,"['剧情', '爱情', '音乐']",111 分钟,2008,新加坡, 英语 / 韩语,5.9
164,幸福卡片 33 Postcards,陈宝玲 ,陈宝玲 ,盖·皮尔斯,朱琳,金燕玲,"['剧情', '音乐']",96分钟,2011,澳大利亚 / 中国大陆, 英语 / 汉语普通话,5.9
165,基达 Grind,Zachary Halley,Zachary Halley,安东尼·拉普,克莱尔·科菲,Pasha Pellosie,"['同性', '音乐', '歌舞']",32分钟,2014,美国, 英语,5.9
166,魔力麦克2 Magic Mike XXL,格里高利·雅各布,雷德·卡罗林,查宁·塔图姆,马特·波莫,乔·曼根尼罗,"['剧情', '喜剧', '音乐']",115分钟,2015,美国, 英语,5.8
167,街头美少女 Bratz,肖恩·麦克纳马拉,Susan Estelle Jansen,洛根·布朗宁,贾娜尔·帕里希,娜塔莉亚·罗蒙丝,"['喜剧', '音乐', '家庭']",USA: 110 分钟,2007,美国, 英语,5.8
168,一曲倾情 Song One,凯特·巴克佛洛兰,凯特·巴克佛洛兰,安妮·海瑟薇,玛丽·斯汀伯根,强尼·弗林,"['剧情', '音乐']",86分钟,2014,美国, 英语,5.8
169,一个很默瑞的圣诞节 A Very Murray Christmas,索菲亚·科波拉,索菲亚·科波拉,比尔·默瑞,乔治·克鲁尼,拉什达·琼斯,"['喜剧', '音乐']",56分钟,2015,美国, 英语,5.8
170,华丽之后 DIVA華麗之後,麦曦茵,麦曦茵,容祖儿,胡歌,杜汶泽,"['爱情', '音乐']",102分钟,2012,香港, 汉语普通话 / 粤语,5.7
171,美国金曲 American Pop,拉尔夫·巴克希,Ronni Kern,Mews Small,Ron Thompson,Jerry Holland,"['剧情', '动画', '音乐']",96 分钟,1981,美国, 英语 / 希伯来语 / 俄语 / 依地语,8.9
172,黄色潜水艇 Yellow Submarine,乔治·杜宁,Lee Minoff,The Beatles,保罗·安吉利斯,约翰·克莱夫,"['喜剧', '动画', '音乐', '奇幻', '冒险']",90分钟,1968,英国 / 美国, 英语,8.8
173,月球漫步 Moonwalker,Colin Chilvers,戴维·纽曼,迈克尔·杰克逊,类型:,音乐,"['音乐', '奇幻']",93 分钟,1988,美国, 英语,8.8
174,从容的快板 Allegro non troppo,布鲁诺·伯茨多,布鲁诺·伯茨多,Maurizio Nichetti,Nestor Garay,Maurizio Micheli,"['喜剧', '动画', '音乐', '奇幻']",85 分钟,1976,意大利, 意大利语,8.8
175,波西米亚狂想曲 Bohemian Rhapsody,布莱恩·辛格,安东尼·麦卡滕,拉米·马雷克,本·哈迪,约瑟夫·梅泽罗,"['剧情', '音乐', '传记']",135分钟,2018,英国 / 美国, 英语,8.7
176,莫扎特传 Amadeus,米洛斯·福尔曼,彼得·谢弗,汤姆·休斯克,F·默里·亚伯拉罕,伊丽莎白·贝里奇,"['剧情', '音乐', '传记']",160 分钟,1984,美国, 英语 / 意大利语 / 德语,8.7
177,摇滚芭比 Hedwig and the Angry Inch,约翰·卡梅隆·米切尔,约翰·卡梅隆·米切尔,约翰·卡梅隆·米切尔,米利亚姆·肖尔,安德列·马丁,"['剧情', '喜剧', '同性', '音乐']",95 分钟,2001,美国, 英语 / 德语,8.7
178,舞台春秋 Limelight,查理·卓别林,查理·卓别林,查理·卓别林,巴斯特·基顿,克莱尔·布鲁姆,"['剧情', '喜剧', '爱情', '音乐']",137 分钟,1952,美国, 英语,8.7
179,弗拉门戈 Flamenco,卡洛斯·绍拉,卡洛斯·绍拉,La Paquera de Jerez,Merche Esmeralda,Manolo Sanlúcar,['音乐'],100 分钟,1995,西班牙, 西班牙语,8.7
180,贾斯汀·汀布莱克：西服与领带 Justin Timberlake Ft. Jay-Z: Suit & Tie,大卫·芬奇,贾斯汀·汀布莱克,贾斯汀·汀布莱克,杰斯,类型:,"['音乐', '歌舞']",5分钟,2013,美国, 英语,8.7
181,这不是弥赛亚 Not the Messiah (He's a Very Naughty Boy),Aubrey Powell,艾瑞克·爱都,艾瑞克·爱都,麦克·帕林,特瑞·琼斯,"['剧情', '喜剧', '音乐']",92 分钟,2010,英国, 英语,8.7
182,彼得与狼：普罗柯菲耶夫的交响童话 Peter and the Wolf: A Prokofiev Fantasy,Steve Bendelack,Claudio Abbado,Claudio Abbado,Roy Hudd,Sting,"['音乐', '儿童']",55分钟,1993,美国, 英语,8.7
183,爆裂鼓手 Whiplash,达米恩·查泽雷,达米恩·查泽雷,迈尔斯·特勒,J·K·西蒙斯,保罗·雷瑟,"['剧情', '音乐']",107分钟,2014,美国, 英语,8.6
184,海盗电台 The Boat That Rocked,理查德·柯蒂斯,理查德·柯蒂斯,比尔·奈伊,肯尼思·布拉纳,菲利普·塞默·霍夫曼,"['剧情', '喜剧', '音乐']",116 分钟,2009,英国 / 德国 / 法国, 英语,8.6
185,想飞的钢琴少年 Vitus,弗兰迪-M.米偌,Peter Luisi,Fabrizio Borsani,泰欧·盖尔基 ,Julika Jenkins,"['剧情', '音乐']",100分钟,2006,瑞士, 瑞士德语 / 英语,8.6
186,音乐会 Le concert,拉杜·米哈伊列亚努,Thierry Degrandi,梅拉尼·罗兰,阿列克塞·古斯科夫,Dimitry Nazarov,"['剧情', '喜剧', '音乐']",122分钟,2009,法国 / 意大利 / 罗马尼亚 / 比利时, 法语 / 俄语,8.6
187,五至七时的克莱奥 Cléo de 5 à 7,阿涅斯·瓦尔达,阿涅斯·瓦尔达,科琳娜·马尔尚,安托万·布尔塞耶,多米妮克·达夫雷,"['剧情', '喜剧', '音乐']",90 分钟,1962,法国 / 意大利, 法语,8.6
188,爵士春秋 All That Jazz,鲍勃·福斯,罗伯特·艾伦·奥瑟,罗伊·沙伊德尔,杰西卡·兰格,利兰·帕尔默,"['剧情', '喜剧', '音乐', '歌舞']",123分钟,1979,美国, 英语 / 西班牙语,8.6
189,古尔德的32个短片 Thirty Two Short Films About Glenn Gould,佛朗索瓦·吉拉德,佛朗索瓦·吉拉德,科鲁姆·费奥瑞,类型:,剧情,"['剧情', '音乐', '传记']",98 分钟,1993,葡萄牙 / 加拿大 / 芬兰 / 荷兰, 英语 / 法语,8.4
190,冒烟 Up in Smoke,汤米·钟,哈利·戴恩·斯坦通／切奇·马林／Val Avery,哈利·戴恩·斯坦通／切奇·马林／Val Avery,类型:,喜剧,"['喜剧', '音乐']",86 分钟,1978,美国, 英语 / 西班牙语,8.4
191,幸运儿 O Lucky Man!,林赛·安德森,大卫·舍温,马尔科姆·麦克道威尔,海伦·米伦,拉尔夫·理查德森,"['剧情', '喜剧', '音乐', '奇幻']",178分钟,1973,英国 / 美国, 英语,8.4
192,小戏骨：补锅,高翔,陶冰蓝,陶冰蓝,钟奕儿,肖杨博涵,"['喜剧', '音乐', '儿童']",28分钟,2016,中国大陆, 汉语普通话,8.4
193,曾经 Once,约翰·卡尼,约翰·卡尼,格伦·汉塞德,玛可塔·伊尔格洛娃,类型:,"['剧情', '爱情', '音乐']",86分钟,2007,爱尔兰, 英语 / 捷克语,8.3
194,八月迷情 August Rush,科斯汀·谢里丹,尼克·卡斯特尔,乔纳森·莱斯·梅耶斯,弗莱迪·海默,罗宾·威廉姆斯,"['剧情', '爱情', '音乐']",114 分钟,2007,美国, 英语,8.3
195,她比烟花寂寞 Hilary and Jackie,安南德·图克尔,Frank Cottrell Boyce,艾米丽·沃森,瑞切尔·格里菲斯,詹姆斯·弗莱恩,"['剧情', '音乐', '传记']",121 分钟,1998,英国, 英语,8.3
196,初恋这首情歌 Sing Street,约翰·卡尼,约翰·卡尼,福迪亚·瓦尔什-匹罗,露西·宝通,杰克·莱诺,"['剧情', '爱情', '音乐']",106分钟,2016,爱尔兰 / 英国 / 美国, 英语 / 法语 / 拉丁语,8.3
197,玫瑰人生 La Môme,奥利维埃·达昂,伊莎贝尔·索伯曼,玛丽昂·歌迪亚,西尔维·泰斯蒂,帕斯卡尔·格雷戈里,"['剧情', '爱情', '音乐', '传记']",140分钟,2007,法国 / 英国 / 捷克, 法语 / 英语,8.3
198,摇摆少女 スウィングガールズ,矢口史靖,矢口史靖,上野树里,平冈祐太,贯地谷栞,"['剧情', '喜剧', '音乐']",105分钟,2004,日本, 日语,8.3
199,灵魂歌王 Ray,泰勒·海克福德,泰勒·海克福德,杰米·福克斯,雷吉娜·金,凯丽·华盛顿,"['剧情', '音乐', '传记']",152 分钟,2004,美国, 英语,8.3
200,搭错车,虞戡平,黄百鸣,孙越,刘瑞琪,李立群,"['剧情', '音乐']",93分钟,1983,香港 / 台湾, 汉语普通话,8.3
201,"沙漠妖姬 The Adventures of Priscilla, Queen of the Desert",斯蒂芬·埃利奥特,斯蒂芬·埃利奥特,雨果·维文,盖·皮尔斯,特伦斯·斯坦普,"['剧情', '喜剧', '同性', '音乐']",104 分钟,1994,澳大利亚 / 英国, 英语 / 菲律宾语,8.3
202,左右情缘 左右情緣,张国荣,张国荣,张国荣,邱淑贞,张柏芝,"['剧情', '爱情', '音乐']",66分钟,1999,香港, 粤语,8.3
203,巴贝特之宴 Babettes gæstebud,加布里埃尔·阿克谢,卡琳·布里克森,斯特凡·奥德朗,博迪尔·谢尔,比吉特·菲德斯皮尔,"['剧情', '爱情', '音乐']",102 分钟,1987,丹麦, 丹麦语 / 瑞典语 / 法语,8.3
204,今生情未了 Un coeur en hiver,克洛德·苏台,克洛德·苏台,丹尼尔·奥特伊,艾曼纽·贝阿,安德烈·杜索里埃,"['剧情', '爱情', '音乐']",105分钟,1992,法国, 法语,8.3
205,英俊少年 Heintje - Einmal wird die Sonne wieder scheinen,汉斯·海因里希,Barbara Anders,海因切·西蒙斯,海因茨·莱纳克,保罗·达尔克,"['音乐', '家庭']",98分钟,1970,西德, 德语,8.3
206,福禄双霸天 The Blues Brothers,约翰·兰迪斯,丹·艾克罗伊德,约翰·贝鲁西,丹·艾克罗伊德,詹姆斯·布朗,"['喜剧', '动作', '音乐', '犯罪']",133分钟,1980,美国, 英语,8.3
207,猫儿历险记 The Aristocats,沃夫冈·雷瑟曼,Larry Clemmons,菲尔·哈里斯 ,伊娃·嘉宝,斯特灵·哈洛威,"['喜剧', '动画', '音乐', '冒险']",78分钟,1970,美国, 英语,8.3
208,乐队来访 ביקור התזמורת,艾伦·科勒林,艾伦·科勒林,塞森·加布埃,罗内特·艾尔卡贝兹,萨莱·巴克里,"['剧情', '音乐']",87分钟,2007,以色列 / 法国 / 美国, 希伯来语 / 阿拉伯语 / 英语,8.1
209,温柔的怜悯 Tender Mercies,布鲁斯·贝尔斯福德,霍顿·福特,罗伯特·杜瓦尔,泰丝·哈珀,贝蒂·巴克利,"['剧情', '音乐']",92分钟,1983,美国, 英语,8.1
210,其实在天堂 Så som i himmelen,凯·波拉克,安德斯·尼伯格,迈克尔·恩奎斯特,弗里达·霍尔格伦,海伦·修荷姆 ,"['剧情', '爱情', '音乐']",132分钟,2004,瑞典, 瑞典语 / 英语 / 意大利语,8.1
211,唱翻哈瓦那 Habana Blues,本尼托·萨姆布拉诺,Ernesto Chao,Alberto Yoel,Roberto Sanmartín,Yailene Sierra,"['剧情', '音乐']",Argentina: 110 分钟,2005,西班牙 / 古巴 / 法国, 西班牙语,8.1
212,船续前行 E la nave va,费德里科·费里尼,费德里科·费里尼,弗雷迪·琼斯,芭芭拉·杰夫德,Victor Poletti,"['剧情', '喜剧', '音乐', '战争']",132 分钟,1983,意大利 / 法国, 意大利语 / 德语 / 塞尔维亚-克罗埃西亚语,8.1
213,圣诞欢歌 The Muppet Christmas Carol,布赖恩 汉森 (Brian Henson),查尔斯·狄更斯,Michael Caine,Dave Goelz,Donald Austen,"['喜剧', '音乐', '歌舞', '家庭', '奇幻']",85 分钟,1992,美国, 英语,8.1
214,修女也疯狂 Sister Act,埃米利·阿朵里诺,Joseph Howard,乌比·戈德堡,玛吉·史密斯,凯茜·纳基麦,"['喜剧', '音乐', '犯罪']",100 分钟,1992,美国, 英语,8.0
215,钢琴课 The Piano,简·坎皮恩,简·坎皮恩,霍利·亨特,哈威·凯特尔,山姆·尼尔,"['剧情', '爱情', '音乐']",121分钟,1993,新西兰 / 澳大利亚 / 法国, 英语 / 英国手语 / 毛利语,8.0
216,座头市 座頭市,北野武,北野武,北野武,浅野忠信,大楠道代,"['剧情', '喜剧', '动作', '音乐', '犯罪']",116 分钟,2003,日本, 日语,8.0
217,几近成名 Almost Famous,卡梅伦·克罗,卡梅伦·克罗,比利·克鲁德普,弗兰西斯·麦克多蒙德,凯特·哈德森,"['剧情', '音乐']",122分钟,2000,美国, 英语,8.0
218,大门 The Doors,奥利佛·斯通,兰道尔·约翰逊,方·基默,梅格·瑞恩,凯尔·麦克拉克伦,"['剧情', '音乐', '传记']",140 分钟,1991,美国, 英语,8.0
219,咖啡与香烟 Coffee and Cigarettes,吉姆·贾木许,吉姆·贾木许,罗伯托·贝尼尼,史蒂夫·赖特,茹瓦·李,"['剧情', '喜剧', '音乐']",95 分钟,2003,美国 / 日本 / 意大利, 英语 / 法语,8.0
220,BEYOND日记之莫欺少年穷 BEYOND日記之莫欺少年窮,宋豪辉,张肇麟,黄家驹,黄家强,黄贯中,"['喜剧', '音乐']",91分钟,1991,香港, 粤语,8.0
221,名扬四海 Fame,艾伦·帕克,Christopher Gore,埃迪·巴特,Irene Cara,Lee Curreri,"['剧情', '音乐']",134 分钟,1980,美国, 英语 / 西班牙语 / 法语,8.0
222,川流熙攘 Hustle & Flow,克雷格·布鲁尔,克雷格·布鲁尔,泰伦斯·霍华德,安东尼·安德森,塔恩·曼宁,"['剧情', '音乐', '犯罪']",116 分钟,2005,美国, 英语,8.0
223,弦动我心 Music of the Heart,韦斯·克雷文,Pamela Gray,梅丽尔·斯特里普,克萝丽丝·利奇曼,安吉拉·贝塞特,"['剧情', '音乐']",124 分钟,1999,美国, 英语,8.0
224,无人知晓的波斯猫 کسی از گربه‌های ایرانی خبر نداره,巴赫曼·戈巴迪,巴赫曼·戈巴迪,Negar Shaghaghi,Ashkan Koshanejad,哈穆德·贝哈德,"['剧情', '音乐']",106分钟,2009,伊朗, 波斯语,8.0
225,兄弟 Брат,阿历克塞·巴拉巴诺夫,阿历克塞·巴拉巴诺夫,小谢尔盖·波德洛夫,维克托·苏霍卢科夫,Svetlana Pismichenko,"['剧情', '音乐', '犯罪']",96 分钟,1997,俄罗斯, 俄语 / 英语 / 法语,8.0
226,娜娜 Nana,大谷健太郎,矢泽爱,中岛美嘉,宫崎葵,成宫宽贵,"['剧情', '音乐']",113 分钟,2005,日本, 日语 / 英语,7.8
227,摇滚校园 The School of Rock,理查德·林克莱特,麦克·怀特,杰克·布莱克,亚当·帕斯考,卢卡斯·帕佩利亚斯,"['喜剧', '音乐']",108分钟,2003,美国 / 德国, 英语,7.8
228,青木瓜之味 Mùi Đu Đủ Xanh,陈英雄,陈英雄,陈女燕溪,如琼,Thi Loc Truong,"['剧情', '爱情', '音乐']",104 分钟,1993,越南 / 法国, 越南语,7.8
229,和你在一起,陈凯歌,薛晓路,唐韵,刘佩琦,陈红,"['剧情', '音乐']",116 分钟,2002,中国大陆, 汉语普通话,7.8
230,光猪六壮士 The Full Monty,彼得·卡坦纽,西蒙·博福伊,罗伯特·卡莱尔,马克·阿蒂,汤姆·威尔金森,"['喜剧', '音乐']",91 分钟,1997,英国, 英语,7.8
231,早死早投胎之地狱摇滚篇 TOO YOUNG TO DIE！ 若くして死ぬ,宫藤官九郎,宫藤官九郎,长濑智也,神木隆之介,荒川良良,"['喜剧', '音乐', '奇幻']",125分钟,2016,日本, 日语,7.8
232,与歌同行 Walk the Line,詹姆斯·曼高德,吉尔·丹尼斯,杰昆·菲尼克斯,瑞茜·威瑟斯彭,罗伯特·帕特里克,"['剧情', '爱情', '音乐', '传记']",136 分钟,2005,美国 / 德国, 英语 / 俄语,7.8
233,盛夏 Лето,基里尔·谢列布连尼科夫,米哈伊尔·伊多夫,刘太旿,伊琳娜·斯达申鲍姆,罗曼·比利克,"['音乐', '传记']",126分钟,2018,俄罗斯, 俄语,7.8
234,噪反城市 Sound of Noise,乌拉·西蒙森,乌拉·西蒙森,Bengt Nilsson,Sanna Persson,类型:,"['喜剧', '爱情', '惊悚', '音乐', '犯罪']",97分钟,2010,瑞典 / 法国, 瑞典语,7.8
235,匪帮说唱传奇 Notorious,小乔治·提尔曼,里基·洛克·拜斯伍德,贾马尔·伍拉德,Mohamed Dione,德里克·卢克,"['剧情', '音乐', '传记']",122 分钟,2009,美国, 英语,7.8
236,甜蜜与卑微 Sweet and Lowdown,伍迪·艾伦,伍迪·艾伦,西恩·潘,萨曼莎·莫顿,Dan Moran,"['喜剧', '音乐']",95 分钟,1999,美国, 英语,7.8
237,猎犬 Hounddog,戴宝拉·卡姆普梅尔,戴宝拉·卡姆普梅尔,达科塔·范宁,伊莎贝拉·弗尔曼,派珀·劳瑞,"['剧情', '音乐']",USA: 102 分钟,2007,美国, 英语,7.8
238,灰色花园 Grey Gardens,迈克尔·苏克西,迈克尔·苏克西,德鲁·巴里摩尔,杰西卡·兰格,珍妮·特里普里霍恩,"['剧情', '喜剧', '音乐']",104分钟,2009,美国, 英语,7.8
239,声梦奇遇 Attila Marcel,希尔万·肖默,希尔万·肖默,纪尧姆·谷伊,安娜·勒尼,贝纳德特·拉封,"['喜剧', '音乐']",106分钟,2013,法国, 法语,7.8
240,一曲难忘 A Song to Remember,查尔斯·维多,西德尼·巴克曼,保罗·穆尼,梅尔·奥勃朗,柯纳·王尔德,"['剧情', '音乐', '传记']",113 分钟,1945,美国, 英语,7.8
241,风的旅程 Los viajes del viento,西罗·格拉,西罗·格拉,Marciano Martínez,Yull Núñez,类型:,"['剧情', '音乐']",Colombia: 117 分钟,2009,哥伦比亚 / 荷兰 / 阿根廷 / 德国, 西班牙语,7.8
242,乐鼓热线 Drumline,查尔斯·斯通三世,Tina Gordon Chism,尼克·卡农,佐伊·索尔达娜,奥兰多·琼斯,"['剧情', '喜剧', '爱情', '音乐']",118 分钟,2002,美国, 英语,7.8
243,紫雨 Purple Rain,阿尔伯特·麦诺尼,阿尔伯特·麦诺尼,王子,阿波罗尼·卡特罗,莫里斯·黛,"['剧情', '爱情', '音乐', '歌舞']",111分钟,1984,美国, 英语,7.8
244,四重人格 Quadrophenia,弗兰克·罗达姆,戴夫·亨弗里斯,菲尔·丹尼尔斯,莱斯利·艾什,斯汀,"['剧情', '音乐', '犯罪']",120分钟,1979,英国, 英语,7.8
245,舞出我人生3 Step Up 3D,朱浩伟,Amy Andelson,瑞奇·马兰博瑞,亚当·G·瑟瓦尼,沙妮·文森,"['剧情', '爱情', '音乐']",107 分钟,2010,美国, 英语,7.6
246,舞出我人生4 Step Up: Revolution,斯科特·斯皮尔,杜安·阿德勒,瑞安·古兹曼,凯瑟琳·麦考米克,杰西卡·瓜迪克斯,"['剧情', '爱情', '音乐']",99分钟,2012,美国, 英语,7.6
247,疯狂的心 Crazy Heart,斯科特·库珀,斯科特·库珀,杰夫·布里吉斯,玛吉·吉伦哈尔,科林·法瑞尔,"['剧情', '爱情', '音乐']",112 分钟,2009,美国, 英语,7.6
248,怪兽在巴黎 Un monstre à Paris,毕鲍·鲍格朗,毕鲍·鲍格朗,丹尼·赫斯顿,凯瑟琳·欧哈拉,亚当·戈德堡,"['喜剧', '动画', '音乐', '奇幻', '冒险']",90分钟,2011,法国, 法语,7.6
249,奇迹，那天如此重要 キセキ―あの日のソビト―,兼重淳,齐藤浩史,松坂桃李,菅田将晖,忽那汐里,"['剧情', '喜剧', '音乐']",111分钟,2017,日本, 日语,7.6
250,重金属囧途 Hevi reissu,裘索·拉提欧,裘索·拉提欧,托尔斯坦·比约克朗德,安蒂·希海基宁,维尔·希尔卡,"['喜剧', '音乐']",92分钟,2018,芬兰 / 挪威, 芬兰语 / 英语 / 挪威语,7.6
251,丹尼·科林斯 Danny Collins,丹·福格尔曼,丹·福格尔曼,阿尔·帕西诺,安妮特·贝宁,詹妮弗·加纳,"['剧情', '喜剧', '音乐']",106分钟,2015,美国, 英语,7.6
252,我心遗忘的节奏 De battre mon coeur s'est arrêté,雅克·欧迪亚,雅克·欧迪亚,罗曼·杜里斯,艾曼纽·德芙,奥雷·阿蒂卡,"['剧情', '动作', '爱情', '惊悚', '音乐', '犯罪']",Germany: 107 分钟,2005,法国, 法语 / 英语 / 俄语 / 汉语普通话 / 越南话,7.6
253,琳达！琳达！琳达！ リンダ リンダ リンダ,山下敦弘,向井康介,前田亚季,裴斗娜,香椎由宇,"['剧情', '喜剧', '音乐']",114分钟,2005,日本, 日语,7.6
254,纵情四海 The Man Who Cried,莎莉·波特,莎莉·波特,克里斯蒂娜·里奇,凯特·布兰切特,约翰·特托罗,"['剧情', '爱情', '音乐', '战争']",100 分钟,2000,英国 / 法国, 英语 / 法语 / 意大利语 / 罗马尼亚语 / 俄语 / 吉普赛语,7.6
255,大提琴手 セロ弾きのゴーシュ,高畑勋,宫泽贤治,佐々木秀樹,雨森雅司,白石冬美,"['动画', '音乐', '奇幻']",60分钟,1982,日本, 日语,7.6
256,生为蓝调 Born to Be Blue,罗伯特·布德里奥,罗伯特·布德里奥,伊桑·霍克,卡门·艾乔戈,考乐姆·吉斯·雷尼,"['剧情', '音乐', '传记']",97分钟,2015,加拿大 / 英国, 英语,7.6
257,芳名卡门 Prénom Carmen,让-吕克·戈达尔,安娜-玛丽·米埃维尔,玛鲁施卡·迪特马斯,贾克·鲍那非,米里昂·鲁塞尔,"['剧情', '喜剧', '爱情', '音乐', '犯罪']",85 分钟,1983,法国, 法语,7.6
258,摇滚万万岁 This Is Spinal Tap,罗伯·莱纳,克里斯托弗·格斯特,罗伯·莱纳,迈克尔·麦基恩,克里斯托弗·格斯特,"['喜剧', '音乐']",82 分钟,1984,美国, 英语,7.6
259,奇可和丽塔 Chico & Rita,Tono Errando,Ignacio Martínez de Pisón,Limara Meneses,Mario Guerra,Enan Oña,"['爱情', '动画', '音乐']",94分钟,2010,西班牙 / 英国, 西班牙语 / 英语 / 法语,7.6
260,塞尔日·甘斯布：英雄人生 Gainsbourg (Vie héroïque),Joann Sfar,Joann Sfar,埃里克·埃尔莫斯尼诺,米兰妮·让帕诺米,安娜·穆格拉利斯,"['剧情', '音乐', '传记']",130分钟,2010,法国, 法语,7.6
261,春光奏鸣曲 Impromptu,James Lapine,萨拉·科诺辰,朱迪·戴维斯,休·格兰特,曼迪·帕廷金,"['喜剧', '爱情', '音乐']",107 分钟,1991,英国 / 法国, 英语,7.6
262,摇滚巨星 Rock Star,斯蒂芬·赫瑞克,约翰·斯托克韦尔,马克·沃尔伯格,詹妮弗·安妮斯顿,杰森·弗莱明,"['剧情', '喜剧', '音乐']",105 分钟,2001,美国, 英语,7.6
263,他们结婚了还有很多孩子 Ils se marièrent et eurent beaucoup d'enfants,伊万·阿达勒,伊万·阿达勒,伊万·阿达勒,夏洛特·甘斯布,阿兰·夏巴,"['剧情', '喜剧', '音乐']",100 分钟,2004,法国, 法语 / 英语 / 意大利语,7.6
264,飞跃情海 Beyond the Sea,凯文·史派西,凯文·史派西,凯文·史派西,凯特·波茨沃斯,约翰·古德曼,"['剧情', '音乐', '歌舞', '传记']",118 分钟,2004,美国 / 德国 / 英国, 英语,7.6
265,醋海风波 Unfaithfully Yours,霍华德·齐耶夫,巴瑞·莱文森,娜塔莎·金斯基,达德利·摩尔,阿曼德·阿山特,"['喜剧', '爱情', '音乐']",96 分钟,1984,美国, 英语,7.4
266,卖艺春秋 Luci del varietà,费德里科·费里尼,费德里科·费里尼,佩皮诺·德·菲利波,卡拉·德尔·波吉奥,朱丽叶塔·马西纳,"['剧情', '爱情', '音乐']",93 分钟,1950,意大利, 意大利语,7.4
267,摇滚兄弟 Brothers of the Head,吉斯·富顿,托尼·格里索尼,哈里·崔德威,卢克·崔德威,Bryan Dick,"['剧情', '音乐']",93 分钟,2005,英国, 英语,7.4
268,金钱陷阱 The Money Pit,理查德·本杰明,David Giler,汤姆·汉克斯,谢莉·朗,亚历山大·乔杜诺夫,"['喜剧', '音乐']",91 分钟,1986,美国, 英语,7.4
269,浮生若舞 The Company,罗伯特·奥特曼,Barbara Turner,内芙·坎贝尔,马尔科姆·麦克道威尔,詹姆斯·弗兰科,"['剧情', '爱情', '音乐']",Canada: 112 分钟(Toronto International Film Festival),2003,美国 / 德国, 英语,7.4
270,庆典 Jubilee,德里克·贾曼,德里克·贾曼,珍妮·鲁纳奎,尼尔·坎贝尔,托亚·威尔考克斯,"['剧情', '音乐']",100 分钟,1978,英国, 英语,7.4
271,乡下姑娘 The Country Girl,乔治·希顿,Clifford Odets,平·克劳斯贝,格蕾丝·凯利,威廉·霍尔登,"['剧情', '音乐']",104分钟,1954,美国, 英语,7.4
272,帕蒂蛋糕$ Patti Cake$,杰里米·贾斯珀,杰里米·贾斯珀,凯西·莫拉蒂,麦考尔·隆巴蒂,丹尼尔·斯图尔特·谢尔曼,"['剧情', '音乐']",109分钟,2017,美国, 英语,7.4
273,手铐情人 Tonight You're Mine,大卫·马肯兹,托马斯·莱弗里特,卢克·崔德威,娜塔丽·特纳,瑞贝卡·本森,"['喜剧', '音乐']",77分钟,2011,英国, 英语,7.4
274,天使的肌肤 Peau d'ange,文森特·佩雷斯,热罗姆·托内尔,Morgane Moré,吉约姆·德帕迪约,Karine Silla,"['剧情', '爱情', '音乐']",85 分钟,2002,法国, 法语,7.4
275,狂野人生 Das wilde Leben,阿希姆·博尔哈克,Dagmar Benke,娜塔莉·爱娃隆,马提亚斯·施维赫夫,David Scheller,"['剧情', '喜剧', '音乐', '传记']",114分钟,2007,德国, 德语 / 英语 / 意大利语,7.4
276,风中新娘 Bride of the Wind,布鲁斯·贝尔斯福德,Marilyn Levy,莎拉·温特,乔纳森·普雷斯,文森特·佩雷斯,"['剧情', '爱情', '音乐', '传记']",99分钟,2001,英国 / 德国 / 奥地利, 英语,7.4
277,不速之客 The Harder They Come,Perry Henzell,Perry Henzell,吉米·克里夫,Janet Bartley,Carl Bradshaw,"['剧情', '音乐', '犯罪']",USA: 120 分钟,1972,牙买加, 英语,7.4
