拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,,Karen Disher,,Glenn Eichler,,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice),,Tracy Grandstaff ...  Daria Morgendorffer (voice),,Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),"['剧情', '喜剧', '动画']",90分钟,2002,USA, english,9.4
千年女优 千年女優,,今敏,,今敏,,小山茉美,,饭塚昭三,,折笠富美子,"['剧情', '爱情', '动画']",87 分钟,2001,日本, 日语,8.6
岁月的童话 おもひでぽろぽろ,,高畑勋,,高畑勋,,今井美树,,柳叶敏郎,,本名阳子,"['剧情', '爱情', '动画']",118 分钟,1991,日本, 德语 / 日语 / 匈牙利语,8.6
狼的孩子雨和雪 おおかみこどもの雨と雪,,细田守,,奥寺佐渡子,,宫崎葵,,大泽隆夫,,黑木华,"['剧情', '动画', '家庭', '奇幻']",117分钟,2012,日本, 日语,8.6
恶童 鉄コン筋クリート,,迈克尔·艾里亚斯,,Anthony Weintraub,,二宫和也,,苍井优,,伊势谷友介,"['动作', '动画', '犯罪', '冒险']",111 分钟,2006,日本, 日语,8.6
小马王 Spirit: Stallion of the Cimarron,,凯利·阿斯博瑞,,约翰·福斯克,,马特·达蒙,,詹姆斯·克伦威尔,,Daniel Studi,"['爱情', '动画', '西部', '冒险']",83 分钟,2002,美国, 英语,8.6
钢铁巨人 The Iron Giant,,布拉德·伯德,,蒂姆·麦肯莱斯,,艾力·马伦斯奥,,范·迪塞尔,,小哈里·康尼克,"['喜剧', '科幻', '动画', '冒险']",86分钟,1999,美国, 英语,8.6
王子与公主 Princes et princesses,,米歇尔·欧斯洛,,米歇尔·欧斯洛,,Arlette Mirapeu,,Philippe Cheytion,,Yves Barsacq,"['喜剧', '动画', '奇幻']",70 分钟,2000,法国, 法语,8.6
人狼,,冲浦启之,,押井守,,藤木义胜,,武藤寿美,,木下浩之,"['科幻', '动画']",102 分钟,1999,日本, 日语,8.6
反叛的童谣 Revolting Rhymes,,扬·拉豪尔,,扬·拉豪尔,,罗伯·布莱顿,,露丝·莱斯利,,嘉玛·陈,['动画'],57分钟,2016,英国, 英语,8.6
猫儿历险记 The Aristocats,,沃夫冈·雷瑟曼,,Larry Clemmons,,菲尔·哈里斯 ,,伊娃·嘉宝,,斯特灵·哈洛威,"['喜剧', '动画', '音乐', '冒险']",78分钟,1970,美国, 英语,8.3
最臭兵器,,冈村天斋,,大友克洋,,崛秀行,,羽佐间道夫,,大塚周夫,"['动作', '动画', '战争']",40分钟,1995,日本, 日语,8.3
幸存的生命（理论与实践） Prezít svuj zivot (teorie a praxe),,杨·史云梅耶,,杨·史云梅耶,,Václav Helsus,,Klára Issová,,Zuzana Kronerová,"['喜剧', '动画', '奇幻']",105 分钟,2010,捷克 / 斯洛伐克 / 日本, 捷克语,8.3
伊凡王子与百变公主 Ivan Tsarévitch et la Princesse Changeante,,米歇尔·欧斯洛,,米歇尔·欧斯洛,,朱利安·贝朗米斯,,马里内·格里泽,,伊夫·巴萨克,['动画'],53分钟,2016,法国, 法语,8.3
小猪大行动 Piglet's Big Movie,,Francis Glebas,,A·A·米尔恩,,约翰·菲德勒,,吉姆·库宁斯,,Andre Stojka,"['动画', '冒险']",75 分钟,2003,美国, 英语,8.3
足球小将 奔向明日！ キャプテン翼 明日に向って走れ!,,中田憲由,,菅良幸,,小粥よう子,,山田栄子,,鈴置洋孝,"['动画', '运动']",35分钟,1986,日本, 日语,8.3
僵尸新娘 Corpse Bride,,蒂姆·波顿,,蒂姆·波顿,,约翰尼·德普,,海伦娜·伯翰·卡特,,艾米丽·沃森,"['剧情', '动画', '奇幻']",77分钟,2005,美国 / 英国, 英语,8.2
冰川时代3 Ice Age: Dawn of the Dinosaurs,,卡洛斯·沙尔丹哈,,彼得·阿克曼,,雷·罗马诺,,约翰·雷吉扎莫,,丹尼斯·利瑞,"['喜剧', '动画', '冒险']",94 分钟,2009,美国, 英语,8.2
言叶之庭 言の葉の庭,,新海诚,,新海诚,,入野自由,,花泽香菜,,平野文,"['爱情', '动画']",46分钟(日本),2013,日本, 日语,8.2
魔发奇缘 Tangled,,内森·格雷诺,,雅各布·格林,,曼迪·摩尔,,扎克瑞·莱维,,唐纳·墨菲,"['喜剧', '动画', '冒险']",100分钟,2010,美国, 英语,8.2
玩具总动员2 Toy Story 2,,约翰·拉塞特,,约翰·拉塞特,,汤姆·汉克斯,,蒂姆·艾伦,,琼·库萨克,"['喜剧', '动画', '奇幻', '冒险']",92分钟,1999,美国, 英语,8.2
圣诞夜惊魂 The Nightmare Before Christmas,,亨利·塞利克,,蒂姆·波顿,,丹尼·艾夫曼,,克里斯·萨兰登,,凯瑟琳·欧哈拉,"['剧情', '动画', '奇幻']",76分钟,1993,美国, 英语,8.2
白雪公主和七个小矮人 Snow White and the Seven Dwarfs,,戴维·汉德,,特德·西尔斯,,阿德里亚娜·卡塞洛蒂,,罗伊·阿特威尔,,Stuart Buchanan,"['爱情', '动画', '歌舞', '家庭', '奇幻']",83 分钟,1937,美国, 英语,8.2
听到涛声 海がきこえる,,望月智充,,冰室冴子,,飞田展男,,坂本洋子,,关俊彦,"['剧情', '爱情', '动画']",72分钟,1993,日本, 日语,8.2
神偷奶爸2 Despicable Me 2,,皮埃尔·柯芬,,辛科·保罗,,史蒂夫·卡瑞尔,,克里斯汀·韦格,,本杰明·布拉特,"['喜剧', '动画', '冒险']",99分钟(中国大陆),2013,美国 / 法国 / 日本, 英语 / 乌克兰语,8.0
超人总动员 The Incredibles,,布拉德·伯德,,布拉德·伯德,,格雷格·T·尼尔森,,霍利·亨特,,塞缪尔·杰克逊,"['喜剧', '动作', '动画', '冒险']",115分钟,2004,美国, 英语 / 西班牙语 / 法语,8.0
冰川时代4 Ice Age: Continental Drift,,麦克·特米尔,,迈克尔·伯格 ,,阿兹·安萨里,,乔·贝哈,,克里斯托弗·坎贝尔,"['喜剧', '动画', '冒险']",88分钟,2012,美国, 英语,8.0
猫的报恩 猫の恩返し,,森田宏幸,,柊葵,,池胁千鹤,,袴田吉彦,,丹波哲郎,"['喜剧', '动画', '奇幻', '冒险']",75 分钟,2002,日本, 日语,8.0
夏目友人帐 劇場版 夏目友人帳 ～うつせみに結ぶ～,,大森贵弘,,绿川幸,,神谷浩史,,井上和彦,,高良健吾,"['剧情', '动画', '奇幻']",104分钟,2018,日本, 日语,8.0
乐高蝙蝠侠大电影 The Lego Batman Movie,,克里斯·麦凯,,赛斯·格雷厄姆-史密斯,,威尔·阿奈特,,罗莎里奥·道森,,拉尔夫·费因斯,"['喜剧', '动作', '动画', '冒险']",105分钟,2017,美国, 英语,8.0
麦兜，菠萝油王子 麥兜，菠蘿油王子,,袁建滔,,谢立文,,李颖贤,,吴君如,,刘德华,"['剧情', '喜剧', '动画']",73分钟,2004,香港, 粤语,8.0
埃及王子 The Prince of Egypt,,布兰达∙查普曼,,菲利普·拉泽布尼克,,方·基默,,Ralph Fiennes,,米歇尔·菲佛,"['剧情', '动画', '冒险']",99分钟,1998,美国, 英语 / 希伯来语,8.0
花与爱丽丝杀人事件 花とアリス殺人事件,,岩井俊二,,岩井俊二,,苍井优,,铃木杏,,胜地凉,"['喜剧', '动画']",100分钟,2015,日本, 日语,8.0
睡美人 Sleeping Beauty,,Clyde Geronimi,,比尔·皮特,,Mary Costa,,Bill Shirley,,Eleanor Audley,"['爱情', '动画', '歌舞', '家庭', '奇幻']",75 分钟,1959,美国, 英语,8.0
克里斯托弗·罗宾 Christopher Robin,,马克·福斯特,,亚历克斯·罗斯·派瑞,,伊万·麦克格雷格,,海莉·阿特维尔,,勃朗特·卡迈克尔,"['喜剧', '动画', '冒险']",104分钟,2018,美国, 英语,8.0
机械心 Jack et la mécanique du coeur,,施特凡·柏拉,,马赛厄斯·马尔修,,马赛厄斯·马尔修,,奥利维娅·鲁兹,,让·雷谢夫,"['剧情', '动画', '冒险']",94分钟,2013,法国, 法语,8.0
飞天小女警 剧场版 The Powerpuff Girls,,克雷格·迈克科雷肯,,查理·宾,,凯茜·卡瓦蒂妮,,塔拉·斯特朗,,伊丽莎白·戴利,"['剧情', '喜剧', '动作', '动画', '家庭', '奇幻', '冒险']",73分钟,2002,美国, 英语,8.0
暗夜恐惧 Peur(s) du noir,,Blutch,,Marie Caillou,,Gil Alma,,Aure Atika,,François Creton,"['剧情', '动画', '悬疑', '恐怖']",85 分钟,2007,法国, 法语,8.0
变身国王 The Emperor's New Groove,,Mark Dindal,,David Reynolds,,大卫·斯佩德,,约翰·古德曼,,艾萨·凯特,"['喜剧', '动画', '家庭', '奇幻', '冒险']",78分钟,2000,美国, 英语,8.0
惊恐小镇 Panique au village,,斯特凡·奥比尔,,斯特凡·奥比尔,,弗雷德里克·雅宁,,珍妮·巴利巴尔 Jeanne Balibar,,伯利·兰内尔,['动画'],75分钟,2009,比利时 / 卢森堡 / 法国, 法语,8.0
小飞龙 海のトリトン,,富野由悠季,,手冢治虫,,塩谷翼 (voice),,広川あけみ (voice),,北浜晴子 (voice),"['动画', '奇幻', '冒险']",74分钟,1979,日本 / 加拿大, 日语,8.0
芭比之十二个跳舞的公主 Barbie In The 12 Dancing Princesses,,Greg Richardson,,Elana Lesser,,Ashleigh Ball,,Kathleen Barr,,Maddy Capozzi,['动画'],83 分钟,2006,美国, 英语,8.0
芭比之天鹅湖 Barbie of Swan Lake,,欧文·赫利,,伊拉娜·莱瑟,,凯莉·谢里丹,,马克·海德斯,,凯尔希·格兰莫,"['动画', '家庭']",81分钟,2003,美国, 英语,8.0
小叮当：拯救精灵大作战 Tinker Bell and the Great Fairy Rescue,,布拉德利·雷蒙德,,鲍勃·赫金博格,,梅·惠特曼,,劳伦·莫特,,麦克·辛,"['喜剧', '动画', '奇幻', '冒险']",76分钟,2010,美国, 英语,8.0
小熊维尼 Winnie the Pooh,,斯蒂芬·安德森,,斯蒂芬·安德森,,约翰·克立斯,,吉姆·库宁斯,,巴德·乐凯,"['喜剧', '动画', '冒险']",63分钟,2011,美国, 英语,7.8
大力士 Hercules,,约翰·马斯克,,约翰·马斯克,,泰特·多诺万,,乔什·基顿,,罗杰·巴特,"['喜剧', '爱情', '动画', '歌舞', '奇幻', '冒险']",93 分钟,1997,美国, 英语 / 西班牙语 / 希腊语,7.8
熊的传说 Brother Bear,,Aaron Blaise,,Tab Murphy,,杰昆·菲尼克斯,,杰里米·苏莱泽,,詹森·雷兹,"['动画', '家庭', '奇幻', '冒险']",85 分钟,2003,美国, 英语 / Inuktitut / 塞尔维亚-克罗埃西亚语,7.8
