你逃我也逃 To Be or Not to Be,,恩斯特·刘别谦,,埃德温·贾斯特斯·迈耶,,卡洛·朗白,,杰克·本尼,,罗伯特·斯塔克,"['喜剧', '战争']",99 分钟,1942,美国, 英语 / 德语,9.2
欢乐树的朋友们：赶尽杀绝 Happy Tree Friends: Overkill,,Alan Lau,,Aubrey Ankrum,,Aubrey Ankrum,,Dana Belben,,Jeff Biancalana,"['喜剧', '动画']",84分钟,2005,美国, 英语,9.2
"欢乐树的朋友们：第二发球 Happy Tree Friends, Volume 2: Second Serving",,Rhode Montijo,,Mark Fiorenza,,Michael 'Lippy' Lipman,,Peter Herrmann,,Liz Stewart,"['喜剧', '动画']",60分钟,2003,美国, 英语,9.2
"欢乐树的朋友们：第三击 Happy Tree Friends, Volume 3: Third Strike",,Rhode Montijo,,Jeff Biancalana,,Michael 'Lippy' Lipman,,Peter Herrmann,,Liz Stewart,"['喜剧', '动画']",135分钟,2004,美国, 英语,9.2
狐妖小红娘剧场版：王权富贵,,王昕,,小新,,杨天翔,,刘校妤,,乔诗语,"['剧情', '喜剧', '爱情']",160分钟,2016,中国大陆, 汉语普通话,9.2
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",,盖·里奇,,盖·里奇,,杰森·弗莱明,,德克斯特·弗莱彻,,尼克·莫兰,"['剧情', '喜剧', '犯罪']",107分钟,1998,英国, 英语,9.1
寻子遇仙记 The Kid,,查理·卓别林,,查理·卓别林,,查理·卓别林,,卡尔·米勒,,艾德娜·珀薇安丝,"['剧情', '喜剧', '家庭']",68分钟,1921,美国, 英语,9.1
马戏团 The Circus,,查理·卓别林,,查理·卓别林,,阿尔·欧内斯特·加西亚,,梅尔纳·肯尼迪,,Harry Crocker,"['喜剧', '爱情']",71 分钟,1928,美国, 英语,9.1
战略大作战 Kelly's Heroes,,布莱恩·G·赫顿,,特洛伊·肯尼迪-马丁,,克林特·伊斯特伍德,,唐纳德·萨瑟兰,,唐·里克斯,"['喜剧', '动作', '战争', '冒险']",144分钟,1970,南斯拉夫 / 美国, 英语 / 法语 / 德语,8.2
赤胆屠龙 Rio Bravo,,霍华德·霍克斯,,利·布拉克特,,约翰·韦恩,,迪恩·马丁,,瑞奇·尼尔森,"['剧情', '喜剧', '爱情', '西部']",141 分钟,1959,美国, 英语 / 西班牙语,8.2
飞出个未来大电影4：绿色狂想 Futurama: Into the Wild Green Yonder,,皮特·阿凡季诺,,马特·格罗宁,,比利·维斯特,,凯特蕾·萨加尔,,约翰·迪·玛吉欧,"['喜剧', '科幻', '动画']",89 分钟(DVD version),2009,美国, 英语,8.2
天堂里的烦恼 Trouble in Paradise,,恩斯特·刘别谦,,山姆森·雷佛森,,米利亚姆·霍普金斯,,凯·弗朗西斯,,赫伯特·马歇尔,"['喜剧', '爱情', '犯罪']",83 分钟,1932,美国, 英语 / 意大利语 / 俄语 / 西班牙语 / 德语,8.2
找乐,,宁瀛,,宁瀛,,黄宗洛,,黄文捷,,韩善续,"['剧情', '喜剧']",97 分钟,1993,中国大陆, 汉语普通话,8.2
波希米亚生活 La vie de bohème,,阿基·考里斯马基,,阿基·考里斯马基,,马蒂·佩龙帕,,Evelyne Didi,,André Wilms,"['剧情', '喜剧']",Germany: 100 分钟,1992,芬兰 / 法国 / 瑞典 / 德国, 法语,8.2
亚当的苹果 Adams Æbler,,安诺斯·托马斯·延森,,安诺斯·托马斯·延森,,乌尔里奇·汤姆森,,麦斯·米科尔森,,尼可拉斯·布若,"['剧情', '喜剧', '犯罪']",94 分钟,2005,丹麦 / 德国, 丹麦语,8.2
克罗地亚宪法 Ustav Republike Hrvatske,,拉伊科·格尔利奇,,拉伊科·格尔利奇,,内博伊沙·格洛戈瓦茨,,德扬·阿西莫维奇,,瑟妮佳·马林克维奇,"['剧情', '喜剧', '同性']",93分钟,2016,克罗地亚 / 捷克 / 斯洛文尼亚 / 马其顿, 克罗地亚语,8.2
甜蜜的永远 Pelíšky,,扬·霍布雷克,,培特尔·亚尔乔夫斯基,,迈克尔·贝兰,,米洛斯拉夫·多努蒂尔,,西蒙娜·史达索娃,"['剧情', '喜剧', '家庭']",115分钟,1999,捷克, 捷克语 / 俄语,8.2
大人别出声 Noises Off,,彼得·博格丹诺维奇,,Marty Kaplan,,卡罗尔·博内特,,迈克尔·凯恩,,丹霍姆·艾略特,"['喜剧', '爱情']",101 分钟,1992,美国, 英语,8.2
爱的激流 Love Streams,,约翰·卡萨维蒂,,泰德·阿兰,,约翰·卡萨维蒂,,吉娜·罗兰兹,,西摩·卡塞尔,"['剧情', '喜剧']",141分钟,1984,美国, 英语,8.2
巴格达咖啡馆 Out of Rosenheim,,Percy Adlon,,Christopher Doherty,,杰克·帕兰斯,,马丽安·萨格布雷特,,希·庞德,"['剧情', '喜剧']",95 分钟,1987,西德 / 美国, 英语 / 德语,8.2
只爱陌生人 Gadjo dilo,,托尼·加列夫,,托尼·加列夫,,罗曼·杜里斯,,罗纳·哈特纳,,Izidor Serban,"['剧情', '喜剧', '爱情', '音乐']",102 分钟,1997,法国 / 罗马尼亚, 法语 / 罗马尼亚语 / 吉普赛语,8.2
他傻瓜谁聪明 Elling,,Petter Næss,,Axel Hellstenius,,Per Christian Ellefsen,,Sven Nordin,,Marit Pia Jacobsen,"['剧情', '喜剧']",89 分钟,2001,挪威, 挪威语,8.2
寻爱之旅 Heartlands,,戴米恩·奥唐纳,,Paul Fraser,,麦克·辛,,马克·阿蒂,,吉姆·卡特,"['剧情', '喜剧']",90 分钟(Edinburgh Film Festival),2002,英国 / 美国, 英语,8.2
锦上添花,,谢添,,谢添,,韩非,,赵子岳,,田烈,"['剧情', '喜剧']",71分钟,1962,中国大陆, 普通话,8.2
那些年，我们一起追的女孩 那些年，我們一起追的女孩,,九把刀,,九把刀,,柯震东,,陈妍希,,敖犬,"['剧情', '喜剧', '爱情']",110分钟,2011,台湾, 汉语普通话,8.1
无名之辈,,饶晓志,,饶晓志,,陈建斌,,任素汐,,潘斌龙,"['剧情', '喜剧']",108分钟,2018,中国大陆, 汉语普通话 / 贵州话,8.1
大路,,孙瑜,,孙瑜,,金焰,,黎莉莉,,陈燕燕,"['剧情', '喜剧', '歌舞', '战争']",104 分钟(美国),1934,中国大陆, 无声,7.8
哭泣的女人,,刘冰鉴,,刘冰鉴,,廖琴,,韦兴坤,,李龙俊,"['剧情', '喜剧']",90 分钟,2002,韩国 / 法国 / 加拿大 / 中国大陆, 汉语普通话,7.8
死亡计中计 Deathtrap,,西德尼·吕美特,,杰伊·普莱森·艾伦,,迈克尔·凯恩,,克里斯托弗·里夫,,黛恩·坎农,"['喜剧', '悬疑', '惊悚', '犯罪']",116 分钟,1982,美国, 英语,7.8
落水姻缘 Overboard,,盖瑞·马歇尔,,Leslie Dixon,,歌蒂·韩,,库尔特·拉塞尔,,爱德华·赫曼,"['喜剧', '爱情']",123分钟,1987,美国, 英语 / 法语,7.8
"我爱红娘 Hello, Dolly!",,吉恩·凯利,,恩斯特·莱赫曼,,芭芭拉·史翠珊,,沃尔特·马修,,路易斯·阿姆斯特朗,"['喜剧', '爱情', '歌舞', '家庭']",146 分钟,1969,美国, 英语,7.8
冰上奇缘 The Cutting Edge,,保罗·迈克尔·格拉泽,,托尼·吉尔罗伊,,D·B·斯威尼,,莫伊拉·凯利,,特瑞·欧奎恩,"['剧情', '喜剧', '爱情', '运动']",101 分钟,1992,美国, 英语,7.8
圣特鲁佩斯的警察 Le gendarme de Saint-Tropez,,让·吉罗,,里夏尔·巴尔杜奇,,路易·德·菲奈斯,,吉内薇芙·格拉德,,米歇尔·加拉布吕,"['喜剧', '犯罪', '冒险']",Argentina: 92 分钟,1964,法国 / 意大利, 法语,7.8
无敌当家 Beethoven,,布莱恩·莱温特,,Amy Holden Jones,,奥利弗·普莱特,,查尔斯·格罗丁,,邦尼·亨特,"['剧情', '喜剧', '家庭']",87 分钟,1992,美国, 英语,7.8
红灯停，绿灯行,,黄建新,,叶广芩,,牛振华,,丁嘉丽,,王刚,['喜剧'],105分钟,1996,中国大陆, 汉语普通话,7.8
圣诞故事 A Christmas Story,,鲍勃·克拉克,,Jean Shepherd,,彼得·比灵斯雷,,梅林达·狄龙,,达伦·麦克加文,"['喜剧', '家庭']",94 分钟,1983,美国 / 加拿大, 英语,7.8
来的都是客,,马绍惠,,毕必成,,赵本山,,王彦波,,巩汉林,"['剧情', '喜剧']",93分钟,1990,中国大陆, 汉语普通话,7.8
恋爱编织梦 How to Make an American Quilt,,乔瑟琳·穆尔豪斯,,简·安德森,,薇诺娜·瑞德,,艾伦·伯斯汀,,安妮·班克罗夫特,"['剧情', '喜剧', '爱情']",109 分钟,1995,美国, 英语,7.8
越位 آفساید,,贾法·帕纳西,,贾法·帕纳西,,Sima Mobarak-Shahi,,Shayesteh Irani,,Ayda Sadeqi,"['剧情', '喜剧', '运动']",93 分钟,2006,伊朗, 波斯语,7.8
逃亡 To Have and Have Not,,霍华德·霍克斯,,欧内斯特·海明威,,亨弗莱·鲍嘉,,劳伦·白考尔,,沃尔特·布伦南,"['喜剧', '爱情', '冒险']",100 分钟,1944,美国, 英语,7.8
女理发师,,丁然,,钱鼎德 ,,王丹凤,,韩非,,顾也鲁,"['剧情', '喜剧']",49分钟,1962,中国, 汉语普通话,7.8
乐鼓热线 Drumline,,查尔斯·斯通三世,,Tina Gordon Chism,,尼克·卡农,,佐伊·索尔达娜,,奥兰多·琼斯,"['剧情', '喜剧', '爱情', '音乐']",118 分钟,2002,美国, 英语,7.8
我们的故事,,梁智强,,梁智强,,陈丽贞,,李国煌,,萨米·优素夫,"['剧情', '喜剧', '家庭']",107分钟,2016,新加坡, 汉语普通话 / 闽南语 / 马来语 / 英语,7.8
鸟笼 The Birdcage,,迈克·尼科尔斯,,埃德沃德·莫利纳罗,,罗宾·威廉姆斯,,吉恩·哈克曼,,内森·连恩,"['喜剧', '同性']",117 分钟,1996,美国, 英语,7.8
远行他方 Les valseuses,,贝特朗·布里叶,,贝特朗·布里叶,,热拉尔·德帕迪约,,帕特里克·迪瓦尔,,缪缪,"['剧情', '喜剧', '犯罪']",France: 150 分钟(restored: 1999),1974,法国, 法语,7.8
日本之形 日本の形,,NAMIKIBASHI,,小林賢太郎,,小林賢太郎,,片桐仁,,斉木しげる,['喜剧'],Japan: 60 分钟,2007,日本, 日语,9.1
